tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_00430	CDS	85574..86767	pgk; phosphoglycerate kinase
tpy:CQ11_00435	CDS	86768..87544	triosephosphate isomerase
tpy:CQ11_00440	CDS	87652..87897	preprotein translocase subunit SecG
tpy:CQ11_00445	CDS	complement(88139..89041)	OpcA protein
tpy:CQ11_00450	CDS	complement(89050..90579)	glucose-6-phosphate dehydrogenase
tpy:CQ11_00455	CDS	complement(90665..91771)	transaldolase
tpy:CQ11_00460	CDS	complement(91774..93855)	transketolase
tpy:CQ11_00465	CDS	93985..94884	recombinase XerD
tpy:CQ11_00470	CDS	94915..95772	chromosome partitioning protein
tpy:CQ11_00475	CDS	95772..96623	chromosome segregation protein ScpA
tpy:CQ11_00480	CDS	96620..97171	chromosome segregation and condensation protein ScpB
tpy:CQ11_00485	CDS	97168..97923	pseudouridine synthase
tpy:CQ11_00490	CDS	97920..99704	prephenate dehydrogenase
tpy:CQ11_00495	CDS	99697..101139	GTP-binding protein EngA
tpy:CQ11_00500	CDS	101182..102303	6-phosphofructokinase
tpy:CQ11_00505	tRNA	complement(102820..102893)	tRNA-Pro
tpy:CQ11_00510	CDS	103077..105590	aminopeptidase N
tpy:CQ11_00515	CDS	105672..106121	signal peptide protein
tpy:CQ11_00520	CDS	106118..106867	MerR family transcriptional regulator
tpy:CQ11_00525	CDS	106997..107557	transcriptional regulator
tpy:CQ11_00530	CDS	107568..107828	hypothetical protein
tpy:CQ11_00535	CDS	108041..108394	electron transporter
tpy:CQ11_00540	gene	complement(108388..109152)	pseudogene
tpy:CQ11_00545	CDS	complement(109149..110627)	acyltransferase
tpy:CQ11_00550	CDS	complement(110691..113291)	RNA helicase
tpy:CQ11_00555	CDS	complement(113291..114199)	diacylglycerol kinase
tpy:CQ11_00560	CDS	complement(114196..114561)	hypothetical protein
tpy:CQ11_00565	CDS	complement(114562..115497)	hypothetical protein
tpy:CQ11_00570	CDS	complement(115490..116407)	hypothetical protein
tpy:CQ11_00575	CDS	116440..117519	hypothetical protein
tpy:CQ11_00580	CDS	complement(117522..118367)	ATP phosphoribosyltransferase
tpy:CQ11_00585	CDS	complement(118375..118638)	hisE; phosphoribosyl-ATP pyrophosphatase
tpy:CQ11_00590	CDS	complement(118671..119669)	thiamine biosynthesis protein
tpy:CQ11_00595	CDS	complement(119673..120422)	hydrogenase
tpy:CQ11_00600	CDS	complement(120654..121316)	ribulose-phosphate 3-epimerase
tpy:CQ11_00605	CDS	complement(121337..122746)	16S rRNA methyltransferase
tpy:CQ11_00610	CDS	complement(122743..123663)	methionyl-tRNA formyltransferase
tpy:CQ11_00615	CDS	complement(123737..125812)	hypothetical protein
tpy:CQ11_00620	CDS	complement(125843..127027)	S-adenosylmethionine synthetase
tpy:CQ11_00625	CDS	complement(127024..128298)	phosphopantothenoylcysteine decarboxylase
tpy:CQ11_00630	CDS	complement(128288..128554)	DNA-directed RNA polymerase subunit omega
tpy:CQ11_00635	CDS	complement(128606..129157)	guanylate kinase
tpy:CQ11_00640	CDS	complement(129232..129543)	integration host factor MihF
tpy:CQ11_00645	gene	complement(129656..132985)	carB; pseudogene
tpy:CQ11_00650	CDS	complement(132985..133377)	hypothetical protein
tpy:CQ11_00655	CDS	complement(133461..133907)	antitermination protein NusB
tpy:CQ11_00660	CDS	complement(133961..134518)	elongation factor P
tpy:CQ11_00665	CDS	complement(134550..136478)	cobalt ABC transporter ATP-binding protein
tpy:CQ11_00670	CDS	complement(136530..137099)	hypothetical protein
tpy:CQ11_00675	CDS	complement(137096..138658)	3-dehydroquinate synthase
tpy:CQ11_00680	CDS	complement(138655..139866)	chorismate synthase
tpy:CQ11_00685	CDS	complement(139909..140481)	hypothetical protein
tpy:CQ11_00690	CDS	complement(140532..141212)	hypothetical protein
tpy:CQ11_00695	CDS	complement(141209..142279)	aminodeoxychorismate lyase
tpy:CQ11_00700	CDS	complement(142371..142829)	Holliday junction resolvase
tpy:CQ11_00705	CDS	complement(142830..145499)	alanyl-tRNA synthetase
tpy:CQ11_00710	CDS	complement(145565..145915)	hypothetical protein
tpy:CQ11_00715	CDS	complement(145992..146612)	30S ribosomal protein S4
tpy:CQ11_00720	CDS	complement(146736..148070)	ATPase AAA
tpy:CQ11_00725	CDS	148181..150673	membrane protein
tpy:CQ11_00730	CDS	complement(150674..151798)	hypothetical protein
tpy:CQ11_00735	CDS	complement(151795..152517)	hypothetical protein
tpy:CQ11_00740	CDS	complement(152548..154341)	aspartyl-tRNA synthetase
tpy:CQ11_00745	CDS	154500..155900	MFS transporter
tpy:CQ11_00750	CDS	156012..157838	DNA helicase
tpy:CQ11_00755	CDS	158274..158459	hypothetical protein
tpy:CQ11_00760	CDS	complement(158456..160030)	dGTPase
tpy:CQ11_00765	CDS	complement(160027..161763)	ABC transporter
tpy:CQ11_00770	CDS	complement(161756..163081)	histidyl-tRNA synthase
tpy:CQ11_00775	CDS	complement(163186..163905)	metallo-beta-lactamase
tpy:CQ11_00780	CDS	164054..165427	ATPase
tpy:CQ11_00785	CDS	165981..166496	hypothetical protein
tpy:CQ11_00790	CDS	complement(166444..168735)	GTP pyrophosphokinase
tpy:CQ11_00795	CDS	complement(168808..169362)	adenine phosphoribosyltransferase
tpy:CQ11_00800	CDS	complement(169359..170459)	preprotein translocase subunit SecF
tpy:CQ11_00805	CDS	complement(170456..172309)	protein-export membrane protein SecD
tpy:CQ11_00810	CDS	complement(172333..172734)	preprotein translocase subunit YajC
tpy:CQ11_00815	CDS	complement(172906..173913)	ruvB; ATP-dependent DNA helicase RuvB
tpy:CQ11_00820	CDS	complement(173916..174509)	ATP-dependent DNA helicase RuvA
tpy:CQ11_00825	CDS	complement(174578..175204)	crossover junction endodeoxyribonuclease RuvC
tpy:CQ11_00830	CDS	complement(175205..175966)	transcriptional regulator
tpy:CQ11_00835	CDS	complement(176016..176564)	hypothetical protein
tpy:CQ11_00840	CDS	complement(176579..177148)	hypothetical protein
tpy:CQ11_00845	CDS	complement(177145..178269)	GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
tpy:CQ11_00850	CDS	complement(178266..179222)	lipid A biosynthesis acyltransferase
tpy:CQ11_00855	CDS	complement(179219..179845)	CDP-alcohol phosphatidyltransferase
tpy:CQ11_00860	CDS	complement(179878..181893)	thrS; threonine--tRNA ligase
tpy:CQ11_00865	CDS	182013..183383	serine ammonia-lyase
tpy:CQ11_00870	CDS	complement(183406..184056)	LuxR family transcriptional regulator
tpy:CQ11_00875	CDS	complement(184053..185090)	histidine kinase
tpy:CQ11_00880	CDS	185486..186706	hypothetical protein
tpy:CQ11_00885	CDS	186706..186891	hypothetical protein
tpy:CQ11_00890	tRNA	complement(187248..187324)	tRNA-Val
tpy:CQ11_00895	tRNA	complement(187331..187401)	tRNA-Cys
tpy:CQ11_00900	tRNA	complement(187435..187510)	tRNA-Gly
tpy:CQ11_00905	tRNA	187671..187745	tRNA-Val
tpy:CQ11_00910	CDS	188137..190383	glycogen debranching protein
tpy:CQ11_00915	CDS	190392..192893	maltooligosyl trehalose synthase
tpy:CQ11_00920	CDS	192886..194619	malto-oligosyltrehalose trehalohydrolase
tpy:CQ11_00925	CDS	194700..195284	hypothetical protein
tpy:CQ11_00930	CDS	195281..196489	ribonuclease D
tpy:CQ11_00935	CDS	complement(196505..198373)	1-deoxy-D-xylulose-5-phosphate synthase
tpy:CQ11_00940	CDS	complement(198753..201995)	alpha integrin
tpy:CQ11_00945	CDS	complement(202314..205007)	acnA; aconitate hydratase
tpy:CQ11_00950	CDS	complement(205103..206290)	SAM-dependent methyltransferase
tpy:CQ11_00955	CDS	complement(206290..208098)	hypothetical protein
tpy:CQ11_00960	CDS	208159..208806	potassium transporter TrkA
tpy:CQ11_00965	gene	208809..209606	pseudogene
tpy:CQ11_00975	CDS	complement(210126..210377)	hypothetical protein
tpy:CQ11_00980	CDS	complement(210374..211009)	hypothetical protein
tpy:CQ11_00985	CDS	complement(211027..211326)	hypothetical protein
tpy:CQ11_00990	CDS	211510..212508	hypothetical protein
tpy:CQ11_00995	CDS	complement(212534..213628)	phosphodiesterase
tpy:CQ11_01000	CDS	complement(213622..214185)	hypothetical protein
tpy:CQ11_01005	CDS	214298..216697	DNA topoisomerase IV subunit A
tpy:CQ11_01010	CDS	complement(216703..217677)	hypothetical protein
tpy:CQ11_01015	CDS	complement(217677..218705)	hypothetical protein
tpy:CQ11_01020	CDS	complement(218749..220878)	DNA topoisomerase IV subunit B
tpy:CQ11_01025	CDS	complement(220967..221161)	hypothetical protein
tpy:CQ11_01030	CDS	221251..221865	DNA polymerase III subunit epsilon
tpy:CQ11_01035	CDS	complement(221883..223358)	RNA polymerase sigma 70
tpy:CQ11_01040	CDS	complement(223467..223856)	hypothetical protein
tpy:CQ11_01045	CDS	complement(223935..225020)	hypothetical protein
tpy:CQ11_01050	CDS	225122..226171	polyprenyl synthetase
tpy:CQ11_01055	CDS	complement(226212..226571)	transcriptional regulator
tpy:CQ11_01060	CDS	226707..227999	murein transglycosylase
tpy:CQ11_01065	CDS	228115..230088	protein kinase
tpy:CQ11_01070	CDS	complement(230116..231468)	phospho-2-dehydro-3-deoxyheptonate aldolase
tpy:CQ11_01075	CDS	complement(231572..232792)	pyrophosphate--fructose-6-phosphate 1-phosphotransferase
tpy:CQ11_01080	CDS	232906..233271	hypothetical protein
tpy:CQ11_01085	CDS	233302..235062	DNA polymerase III subunit epsilon
tpy:CQ11_01090	CDS	complement(235059..235463)	chemotaxis protein CheY
tpy:CQ11_01095	CDS	235717..236331	superoxide dismutase
tpy:CQ11_01100	CDS	complement(236973..237959)	peptidylprolyl isomerase
tpy:CQ11_01105	CDS	complement(238010..238354)	hypothetical protein
tpy:CQ11_01110	CDS	complement(238505..239593)	hypothetical protein
tpy:CQ11_01115	CDS	complement(239593..240933)	hypothetical protein
tpy:CQ11_01120	CDS	241036..241701	membrane protein
tpy:CQ11_01125	CDS	complement(241702..242133)	hypothetical protein
tpy:CQ11_01130	CDS	242246..243643	aminopeptidase A
tpy:CQ11_01135	CDS	complement(243640..243957)	oxidoreductase
tpy:CQ11_01140	CDS	244104..245477	dihydrolipoamide dehydrogenase
tpy:CQ11_01145	CDS	245492..247168	dihydrolipoamide acetyltransferase
tpy:CQ11_01150	CDS	complement(247270..247773)	hypothetical protein
tpy:CQ11_01155	CDS	247958..249046	hypothetical protein
tpy:CQ11_01160	CDS	249114..249812	membrane protein
tpy:CQ11_01165	CDS	249922..251340	glutamine synthetase
tpy:CQ11_01170	CDS	complement(251341..251949)	histidine phosphatase
tpy:CQ11_01175	CDS	complement(251952..254954)	glutamine-synthetase adenylyltransferase
tpy:CQ11_01180	CDS	complement(254954..256288)	glutamine synthetase
tpy:CQ11_01185	CDS	complement(256288..256503)	hypothetical protein
tpy:CQ11_01190	CDS	256566..257474	methionine aminopeptidase
tpy:CQ11_01195	CDS	257517..258269	polyphosphate glucokinase
tpy:CQ11_10710	ncRNA	complement(258297..258648)	bacterial RNase P
tpy:CQ11_01200	CDS	258687..259463	hypothetical protein
tpy:CQ11_01205	CDS	complement(259470..260204)	hypothetical protein
tpy:CQ11_01210	CDS	complement(260204..261001)	hypothetical protein
tpy:CQ11_01215	CDS	261044..261442	camphor resistance protein CrcB
tpy:CQ11_01220	CDS	261442..261828	chromosome condensation protein CrcB
tpy:CQ11_01225	CDS	complement(261891..264509)	hypothetical protein
tpy:CQ11_01230	CDS	complement(264584..264799)	hypothetical protein
tpy:CQ11_01235	CDS	complement(264913..265284)	hypothetical protein
tpy:CQ11_01240	tRNA	complement(265674..265749)	tRNA-Val
tpy:CQ11_01245	CDS	complement(265832..266245)	hypothetical protein
tpy:CQ11_01250	CDS	266467..269223	pyruvate dehydrogenase
tpy:CQ11_01255	CDS	269380..271152	ABC transporter
tpy:CQ11_01260	CDS	271149..272966	multidrug ABC transporter ATP-binding protein
tpy:CQ11_01265	CDS	complement(273002..273706)	HAD family hydrolase
tpy:CQ11_01270	CDS	complement(273706..274326)	translation factor Sua5
tpy:CQ11_01275	CDS	complement(274326..274946)	hypothetical protein
tpy:CQ11_01280	CDS	275010..275414	hypothetical protein
tpy:CQ11_01285	CDS	complement(275436..275939)	hypothetical protein
tpy:CQ11_01290	CDS	complement(276023..276943)	epimerase
tpy:CQ11_01295	CDS	complement(276940..277428)	peptide deformylase
tpy:CQ11_01305	CDS	278214..278933	hypothetical protein
tpy:CQ11_01310	CDS	complement(278917..279189)	hypothetical protein
tpy:CQ11_01315	CDS	complement(279173..279478)	hypothetical protein
tpy:CQ11_01320	CDS	complement(279475..280239)	hypothetical protein
tpy:CQ11_01325	CDS	complement(280253..280651)	hypothetical protein
tpy:CQ11_01330	CDS	complement(280663..282252)	hypothetical protein
tpy:CQ11_01335	CDS	complement(282249..284456)	hypothetical protein
tpy:CQ11_01345	CDS	complement(284586..284882)	hypothetical protein
tpy:CQ11_01350	CDS	complement(284894..285325)	hypothetical protein
tpy:CQ11_01355	CDS	complement(285325..285735)	hypothetical protein
tpy:CQ11_01360	CDS	complement(285749..286120)	hypothetical protein
tpy:CQ11_01365	CDS	complement(286117..286458)	hypothetical protein
tpy:CQ11_01370	CDS	complement(286458..288002)	hypothetical protein
tpy:CQ11_01375	CDS	complement(287999..289144)	histone H1
tpy:CQ11_01380	CDS	complement(289224..290684)	hypothetical protein
tpy:CQ11_01385	CDS	complement(290662..291039)	hypothetical protein
tpy:CQ11_01390	CDS	complement(291179..291463)	hypothetical protein
tpy:CQ11_01395	CDS	complement(291460..291696)	hypothetical protein
tpy:CQ11_01400	CDS	complement(291712..292386)	hypothetical protein
tpy:CQ11_01405	CDS	complement(292421..292639)	hypothetical protein
tpy:CQ11_01410	CDS	complement(292649..292894)	hypothetical protein
tpy:CQ11_01415	CDS	complement(292891..293124)	hypothetical protein
tpy:CQ11_01420	CDS	293172..293648	hypothetical protein
tpy:CQ11_01425	tRNA	complement(294145..294216)	tRNA-Asn
tpy:CQ11_01430	CDS	complement(294398..294889)	hypothetical protein
tpy:CQ11_01435	CDS	complement(294873..295103)	hypothetical protein
tpy:CQ11_01440	CDS	complement(295161..295679)	hypothetical protein
tpy:CQ11_01445	CDS	complement(296000..296593)	hypothetical protein
tpy:CQ11_01450	gene	complement(296628..297461)	pseudogene
tpy:CQ11_01455	CDS	complement(297488..298537)	ABC transporter permease
tpy:CQ11_01460	CDS	complement(298550..299629)	ABC transporter substrate-binding protein
tpy:CQ11_01465	CDS	complement(299745..302843)	htaa family protein
tpy:CQ11_01470	tRNA	complement(303422..303495)	tRNA-Met
tpy:CQ11_01475	CDS	complement(303531..304388)	ferredoxin
tpy:CQ11_01480	CDS	complement(304381..304992)	hypothetical protein
tpy:CQ11_01485	CDS	305078..305386	translocase
tpy:CQ11_01490	CDS	305452..305799	preprotein translocase subunit TatA
tpy:CQ11_01495	CDS	305829..306566	preprotein translocase subunit TatC
tpy:CQ11_01500	CDS	306559..306816	molybdopterin-guanine dinucleotide biosynthesis protein
tpy:CQ11_01505	CDS	complement(306851..308803)	DNA primase
tpy:CQ11_01510	CDS	complement(308892..310139)	deoxyguanosinetriphosphate triphosphohydrolase
tpy:CQ11_01515	CDS	310176..311210	hypothetical protein
tpy:CQ11_01520	CDS	complement(311211..312488)	hydrolase
tpy:CQ11_01525	CDS	complement(312485..313648)	hypothetical protein
tpy:CQ11_01530	CDS	complement(313670..315064)	glycine-tRNA synthetase subunit beta
tpy:CQ11_01535	CDS	315266..316273	ABC transporter substrate-binding protein
tpy:CQ11_01540	CDS	316282..317061	ABC transporter
tpy:CQ11_01545	CDS	317058..317996	ABC transporter
tpy:CQ11_01550	CDS	318018..318407	Fur family transcriptional regulator
tpy:CQ11_01555	CDS	318455..318979	membrane protein
tpy:CQ11_01560	CDS	319019..319228	RNA-binding protein S4
tpy:CQ11_01565	CDS	complement(319225..322767)	DNA polymerase III subunit alpha
tpy:CQ11_01570	CDS	complement(322851..323309)	acetyltransferase
tpy:CQ11_01575	CDS	complement(323281..324231)	pseudouridine synthase
tpy:CQ11_01580	CDS	complement(324228..324695)	signal peptidase
tpy:CQ11_01585	CDS	complement(324745..325332)	cell division protein DivIVA
tpy:CQ11_01590	CDS	complement(325519..325803)	membrane protein
tpy:CQ11_01595	CDS	complement(325803..326225)	hypothetical protein
tpy:CQ11_01600	CDS	complement(326303..327055)	laccase
tpy:CQ11_01605	CDS	complement(327127..328314)	cell division protein FtsZ
tpy:CQ11_01610	CDS	complement(328458..329252)	hypothetical protein
tpy:CQ11_01615	gene	complement(329297..330901)	pseudogene
tpy:CQ11_01620	CDS	complement(330898..332007)	UDP-diphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
tpy:CQ11_01625	CDS	complement(332004..333233)	cell division protein FtsW
tpy:CQ11_01630	CDS	complement(333220..334689)	UDP-N-acetylmuramoylalanine--D-glutamate ligase
tpy:CQ11_01635	CDS	complement(334686..335771)	phospho-N-acetylmuramoyl-pentapeptide-transferase
tpy:CQ11_01640	CDS	complement(335772..337172)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
tpy:CQ11_01645	CDS	complement(337169..338659)	UDP-N-acetylmuramyl-tripeptide synthetase
tpy:CQ11_01650	CDS	complement(338668..340422)	peptidoglycan glycosyltransferase
tpy:CQ11_01655	CDS	complement(340568..340960)	hypothetical protein
tpy:CQ11_01660	CDS	complement(340969..341970)	16S rRNA methyltransferase
tpy:CQ11_01665	CDS	complement(342048..342479)	cell division protein MraZ
tpy:CQ11_01670	CDS	complement(343219..343593)	membrane protein
tpy:CQ11_01675	CDS	complement(343684..344901)	DNA polymerase IV
tpy:CQ11_01680	CDS	344948..345775	spermidine synthase
tpy:CQ11_01685	CDS	complement(345797..346867)	hypothetical protein
tpy:CQ11_01690	CDS	347019..349241	ATPase AAA
tpy:CQ11_01695	CDS	349256..350458	3-phosphoglycerate dehydrogenase
tpy:CQ11_01700	CDS	350523..352409	long-chain fatty acid--CoA ligase
tpy:CQ11_01705	gene	complement(352297..352866)	pseudogene
tpy:CQ11_01710	CDS	complement(352990..353241)	hypothetical protein
tpy:CQ11_01715	CDS	353719..354420	LexA family transcriptional regulator
tpy:CQ11_01720	CDS	complement(354422..356359)	ATP-dependent helicase
tpy:CQ11_01725	CDS	complement(356352..357668)	GTP-binding protein
tpy:CQ11_01730	CDS	357891..358490	methyltransferase
tpy:CQ11_01735	CDS	complement(358469..359380)	tRNA delta(2)-isopentenylpyrophosphate transferase
tpy:CQ11_01740	CDS	complement(359380..360936)	(dimethylallyl)adenosine tRNA methylthiotransferase
tpy:CQ11_01745	CDS	complement(360991..361569)	RecX family transcriptional regulator
tpy:CQ11_01750	CDS	complement(361569..362624)	recombinase RecA
tpy:CQ11_01755	CDS	complement(362881..363093)	hypothetical protein
tpy:CQ11_01760	CDS	complement(363090..363431)	XRE family transcriptional regulator
tpy:CQ11_01765	CDS	complement(363504..364067)	damage-inducible protein CinA
tpy:CQ11_01770	gene	complement(364057..364653)	pseudogene
tpy:CQ11_01775	CDS	364691..365929	poly-gamma-glutamate biosynthesis protein
tpy:CQ11_01780	CDS	complement(365934..368516)	hypothetical protein
tpy:CQ11_01785	CDS	complement(368675..370351)	ribonuclease
tpy:CQ11_01790	CDS	complement(370441..371337)	dihydrodipicolinate synthase
tpy:CQ11_01795	CDS	371415..372002	GCN5 family acetyltransferase
tpy:CQ11_01800	CDS	complement(372031..375201)	helicase
tpy:CQ11_01805	CDS	complement(375198..375929)	4-hydroxy-tetrahydrodipicolinate reductase
tpy:CQ11_01810	CDS	complement(375944..377242)	zinc protease
tpy:CQ11_01815	CDS	377873..378565	hypothetical protein
tpy:CQ11_01820	CDS	complement(378627..380972)	polynucleotide phosphorylase
tpy:CQ11_01825	CDS	complement(381136..381405)	30S ribosomal protein S15
tpy:CQ11_01830	CDS	382162..383421	hypothetical protein
tpy:CQ11_01835	CDS	383429..384142	multidrug ABC transporter ATPase
tpy:CQ11_01840	CDS	384123..384752	hypothetical protein
tpy:CQ11_01845	CDS	complement(384775..385758)	riboflavin kinase
tpy:CQ11_01850	CDS	complement(385776..385961)	hypothetical protein
tpy:CQ11_01855	CDS	complement(385976..387631)	hypothetical protein
tpy:CQ11_01860	CDS	complement(387628..388188)	LemA family protein
tpy:CQ11_01865	CDS	complement(388223..389266)	sugar ABC transporter substrate-binding protein
tpy:CQ11_01870	CDS	complement(389239..391653)	hypothetical protein
tpy:CQ11_01875	CDS	complement(391713..393116)	glpT; sn-glycerol-3-phosphate transporter
tpy:CQ11_01880	CDS	complement(393243..393926)	response regulator
tpy:CQ11_01885	CDS	complement(393926..394714)	histidine kinase
tpy:CQ11_01890	CDS	complement(394711..395727)	pseudouridine synthase
tpy:CQ11_01895	CDS	complement(395727..396164)	ribosome-binding factor A
tpy:CQ11_01900	CDS	complement(396510..399257)	translation initiation factor IF-2
tpy:CQ11_01910	CDS	complement(399714..400721)	transcription elongation factor NusA
tpy:CQ11_01915	CDS	complement(400730..401179)	hypothetical protein
tpy:CQ11_01920	CDS	401219..402046	hypothetical protein
tpy:CQ11_01925	CDS	complement(402067..403845)	prolyl-tRNA synthetase
tpy:CQ11_01930	CDS	complement(403959..404807)	acetyltransferase
tpy:CQ11_01935	CDS	complement(404807..405967)	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
tpy:CQ11_01940	CDS	complement(406016..407308)	zinc metalloprotease
tpy:CQ11_01945	CDS	complement(407309..408523)	1-deoxy-D-xylulose 5-phosphate reductoisomerase
tpy:CQ11_01950	CDS	complement(408523..409068)	cell division protein DivIVA
tpy:CQ11_01955	CDS	complement(409061..410332)	ribosomal RNA large subunit methyltransferase N
tpy:CQ11_01960	CDS	complement(410361..411245)	phosphatidate cytidylyltransferase
tpy:CQ11_01965	CDS	complement(411245..411802)	ribosome-recycling factor
tpy:CQ11_01970	CDS	complement(411810..412532)	pyrH; uridylate kinase
tpy:CQ11_01975	CDS	complement(412563..412943)	RNA-binding protein S4
tpy:CQ11_01980	CDS	413073..414620	MFS transporter
tpy:CQ11_01985	CDS	complement(414938..415228)	ferredoxin
tpy:CQ11_01990	CDS	complement(415241..416533)	oxidoreductase
tpy:CQ11_01995	CDS	complement(416590..417444)	electron transfer flavoprotein subunit beta
