pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_00230	CDS	44014..44250	hypothetical protein
pkt:AT984_00235	CDS	44252..45328	hypothetical protein
pkt:AT984_00240	CDS	45510..47846	malic enzyme
pkt:AT984_00245	CDS	48040..49470	pyruvate kinase
pkt:AT984_00250	CDS	complement(49526..50548)	hypothetical protein
pkt:AT984_00255	CDS	50766..51536	MBL fold metallo-hydrolase
pkt:AT984_00260	CDS	51685..52749	fructose-1,6-bisphosphate aldolase
pkt:AT984_00265	CDS	52857..53756	phosphoribosylaminoimidazolesuccinocarboxamide synthase
pkt:AT984_00270	CDS	53753..54868	hypothetical protein
pkt:AT984_00275	CDS	complement(54964..55929)	co-chaperone YbbN
pkt:AT984_00280	CDS	56114..56611	N5-carboxyaminoimidazole ribonucleotide mutase
pkt:AT984_00285	CDS	56611..57789	phosphoribosylaminoimidazole carboxylase
pkt:AT984_00290	CDS	57810..58811	translation factor Sua5
pkt:AT984_00295	CDS	58870..59856	hypothetical protein
pkt:AT984_00300	CDS	59941..60690	hypothetical protein
pkt:AT984_00305	CDS	60789..61289	hypothetical protein
pkt:AT984_00310	CDS	61286..62236	hypothetical protein
pkt:AT984_00315	CDS	62233..63351	hypothetical protein
pkt:AT984_00320	gene	complement(63397..64637)	pseudogene
pkt:AT984_00325	CDS	65070..65564	hypothetical protein
pkt:AT984_00330	CDS	complement(65669..66355)	glutathione S-transferase
pkt:AT984_00335	CDS	complement(66439..68481)	lytic transglycosylase
pkt:AT984_00340	CDS	68545..69189	hypothetical protein
pkt:AT984_00345	gene	69228..69994	pseudogene
pkt:AT984_00350	CDS	complement(69996..70946)	LysR family transcriptional regulator
pkt:AT984_00355	CDS	71228..71563	hypothetical protein
pkt:AT984_00360	CDS	complement(71481..71936)	hypothetical protein
pkt:AT984_00365	CDS	complement(72038..72427)	hypothetical protein
pkt:AT984_00370	CDS	complement(72480..73019)	hypothetical protein
pkt:AT984_00375	CDS	73286..74230	phosphofructokinase
pkt:AT984_00380	CDS	74431..74943	5-formyltetrahydrofolate cyclo-ligase
pkt:AT984_00385	CDS	75083..76393	Xaa-Pro dipeptidase
pkt:AT984_00390	CDS	complement(76487..76981)	hypothetical protein
pkt:AT984_00395	CDS	complement(77090..79477)	peptidase S53
pkt:AT984_00400	CDS	complement(79865..80482)	hypothetical protein
pkt:AT984_00405	CDS	complement(80704..81318)	LuxR family transcriptional regulator
pkt:AT984_00410	CDS	complement(81315..83498)	PAS domain-containing sensor histidine kinase
pkt:AT984_00415	CDS	83629..84978	alpha-ketoglutarate permease
pkt:AT984_00420	CDS	complement(85056..85898)	5,10-methylenetetrahydrofolate reductase
pkt:AT984_00425	CDS	complement(85895..86671)	hemolysin
pkt:AT984_00430	CDS	complement(86938..88371)	adenosylhomocysteinase
pkt:AT984_00435	CDS	88702..89490	HAD family hydrolase
pkt:AT984_00440	CDS	89557..90534	hypothetical protein
pkt:AT984_00445	CDS	90605..90979	two-component system response regulator
pkt:AT984_00450	CDS	complement(90959..92065)	cytoplasmic protein
pkt:AT984_00455	gene	complement(92134..93129)	pseudogene
pkt:AT984_00460	CDS	complement(93402..94586)	S-adenosylmethionine synthetase
pkt:AT984_00465	CDS	94780..95688	lipid A biosynthesis acyltransferase
pkt:AT984_00470	CDS	95693..96574	lipid A biosynthesis acyltransferase
pkt:AT984_00475	CDS	96646..97506	diaminopimelate epimerase
pkt:AT984_00480	CDS	97503..98276	hypothetical protein
pkt:AT984_00485	CDS	98344..99273	recombinase XerC
pkt:AT984_00490	CDS	99302..100867	hypothetical protein
pkt:AT984_00495	CDS	100937..102121	23S rRNA methyltransferase
pkt:AT984_00500	CDS	complement(102198..102677)	AsnC family transcriptional regulator
pkt:AT984_00505	CDS	102819..104690	glutamine--fructose-6-phosphate aminotransferase
pkt:AT984_00510	CDS	104848..105084	hypothetical protein
pkt:AT984_00515	CDS	105544..106560	hypothetical protein
pkt:AT984_00520	CDS	complement(106805..107227)	CHRD domain-containing protein
pkt:AT984_00525	CDS	complement(107550..108914)	hypothetical protein
pkt:AT984_00530	CDS	complement(108998..109678)	two-component system response regulator
pkt:AT984_00535	CDS	109795..110268	hypothetical protein
pkt:AT984_00540	CDS	110296..110724	5-hydroxyisourate hydrolase
pkt:AT984_00545	CDS	111018..112100	hypothetical protein
pkt:AT984_00550	CDS	112282..113850	chemotaxis protein
pkt:AT984_00555	CDS	complement(113999..114631)	hypothetical protein
pkt:AT984_00560	gene	complement(115241..116767)	pseudogene
pkt:AT984_00565	CDS	complement(117304..117960)	hypothetical protein
pkt:AT984_00570	CDS	118705..119331	pyridoxamine 5-phosphate oxidase
pkt:AT984_00575	CDS	complement(119389..120291)	LysR family transcriptional regulator
pkt:AT984_00580	CDS	120430..120978	alkylhydroperoxidase
pkt:AT984_00585	CDS	121266..122135	phosphohydrolase
pkt:AT984_00590	CDS	122266..122634	RNA signal recognition particle
pkt:AT984_00595	CDS	123111..123932	hypothetical protein
pkt:AT984_00600	CDS	complement(124147..125055)	hypothetical protein
pkt:AT984_00605	gene	126585..127925	pseudogene
pkt:AT984_00610	CDS	complement(128052..128999)	sugar kinase
pkt:AT984_00615	CDS	complement(129275..129457)	hypothetical protein
pkt:AT984_00620	CDS	complement(129620..131914)	flavodoxin reductase
pkt:AT984_00625	CDS	132064..133125	hypothetical protein
pkt:AT984_00630	CDS	complement(133367..134080)	hypothetical protein
pkt:AT984_00635	CDS	complement(134256..135074)	glycosyl transferase family 1
pkt:AT984_00640	CDS	135369..136235	NAD-dependent deacetylase
pkt:AT984_00645	CDS	136623..138449	hypothetical protein
pkt:AT984_00650	CDS	138452..140005	hypothetical protein
pkt:AT984_00655	CDS	140176..140910	hypothetical protein
pkt:AT984_00660	CDS	complement(140926..141795)	hypothetical protein
pkt:AT984_00665	CDS	complement(141960..142571)	hypothetical protein
pkt:AT984_00670	CDS	complement(142654..144348)	hypothetical protein
pkt:AT984_00675	CDS	complement(144496..145974)	DNA-binding protein
pkt:AT984_00680	CDS	146112..147425	4-aminobutyrate aminotransferase
pkt:AT984_00685	CDS	147430..148878	gabD; NAD-dependent succinate-semialdehyde dehydrogenase
pkt:AT984_00690	CDS	149079..151160	phosphate transport regulator
pkt:AT984_00695	CDS	151157..152848	pyruvate, phosphate dikinase
pkt:AT984_00700	CDS	152962..154680	poly-beta-hydroxybutyrate polymerase
pkt:AT984_00705	CDS	154711..155511	enoyl-ACP reductase
pkt:AT984_00710	CDS	155515..156042	hypothetical protein
pkt:AT984_00715	CDS	156244..157959	hypothetical protein
pkt:AT984_00720	CDS	158281..160311	hypothetical protein
pkt:AT984_00725	CDS	complement(160379..160669)	XRE family transcriptional regulator
pkt:AT984_00730	CDS	161198..161857	hypothetical protein
pkt:AT984_00735	CDS	complement(162372..162995)	transcriptional regulator
pkt:AT984_00740	CDS	163087..164592	GntR family transcriptional regulator
pkt:AT984_00745	CDS	complement(164862..166874)	DNA helicase
pkt:AT984_00750	CDS	167180..167725	hypothetical protein
pkt:AT984_00755	CDS	167878..168357	hypothetical protein
pkt:AT984_00760	CDS	168597..170069	RND transporter
pkt:AT984_00765	CDS	170086..171501	copper oxidase
pkt:AT984_00770	CDS	171627..172073	metal-binding protein
pkt:AT984_00775	CDS	172085..172459	hypothetical protein
pkt:AT984_00780	CDS	172630..172881	glutathione peroxidase
pkt:AT984_00785	CDS	172935..173132	hypothetical protein
pkt:AT984_00790	CDS	173193..173834	hypothetical protein
pkt:AT984_00795	CDS	complement(173863..175416)	hypothetical protein
pkt:AT984_00800	CDS	175979..176977	cobalt transporter
pkt:AT984_00805	CDS	176967..177644	hypothetical protein
pkt:AT984_00810	CDS	complement(177789..178994)	sodium:proton exchanger
pkt:AT984_00815	CDS	179130..179711	hypothetical protein
pkt:AT984_00820	CDS	179879..180127	hypothetical protein
pkt:AT984_00825	CDS	180202..181449	methyltransferase
pkt:AT984_00830	CDS	complement(181946..182530)	nuclear export factor GLE1
pkt:AT984_00835	CDS	complement(182548..184929)	TonB-dependent receptor
pkt:AT984_00840	CDS	complement(185152..185610)	hypothetical protein
pkt:AT984_00845	CDS	complement(185625..186125)	hypothetical protein
pkt:AT984_00850	CDS	complement(186291..187544)	peptidase M20
pkt:AT984_00855	CDS	complement(187541..189343)	allantoate amidohydrolase
pkt:AT984_00860	CDS	complement(189350..190315)	allantoinase
pkt:AT984_00865	CDS	190393..190746	5-hydroxyisourate hydrolase
pkt:AT984_00870	CDS	190746..191597	hypothetical protein
pkt:AT984_00875	CDS	191816..192694	peptidase C14
pkt:AT984_00880	CDS	192731..193927	hypothetical protein
pkt:AT984_00885	CDS	194051..194815	hypothetical protein
pkt:AT984_00890	CDS	194964..195794	hypothetical protein
pkt:AT984_00895	CDS	complement(195798..198131)	aldehyde oxidase
pkt:AT984_00900	CDS	complement(198128..199675)	FAD-binding molybdopterin dehydrogenase
pkt:AT984_00905	CDS	199731..201071	guanine deaminase
pkt:AT984_00910	CDS	201094..202641	ABC transporter
pkt:AT984_00915	CDS	202634..203710	sugar ABC transporter permease
pkt:AT984_00920	CDS	203723..204643	ABC transporter permease
pkt:AT984_00925	CDS	204691..205863	hypothetical protein
pkt:AT984_00930	CDS	complement(205961..206809)	hypothetical protein
pkt:AT984_00935	CDS	complement(207095..209674)	cyanophycin synthetase
pkt:AT984_00940	CDS	complement(209732..211921)	cyanophycin synthetase
pkt:AT984_00945	CDS	212174..214456	ABC transporter
pkt:AT984_00950	CDS	214472..214945	hypothetical protein
pkt:AT984_00955	CDS	complement(214967..215959)	sodium-dependent bicarbonate transport family permease
pkt:AT984_00960	CDS	complement(216110..216343)	hypothetical protein
pkt:AT984_00965	CDS	complement(216443..217129)	hypothetical protein
pkt:AT984_00970	CDS	complement(217242..217586)	hypothetical protein
pkt:AT984_00975	CDS	217738..218625	LysR family transcriptional regulator
pkt:AT984_00980	CDS	218841..220022	isovaleryl-CoA dehydrogenase
pkt:AT984_00985	CDS	220117..221034	serine dehydratase
pkt:AT984_00990	CDS	221159..221848	carbonic anhydrase
pkt:AT984_00995	gene	221896..223635	pseudogene
pkt:AT984_01000	CDS	223761..224942	acetyl-CoA acetyltransferase
pkt:AT984_01005	gene	225168..225968	pseudogene
pkt:AT984_01010	CDS	complement(226105..226797)	hypothetical protein
pkt:AT984_01015	CDS	227299..227616	hypothetical protein
pkt:AT984_01020	CDS	228074..228715	uridine kinase
pkt:AT984_01025	CDS	228764..229261	hypothetical protein
pkt:AT984_01030	CDS	229421..229906	hypothetical protein
pkt:AT984_01035	CDS	complement(230019..230579)	hypothetical protein
pkt:AT984_01040	CDS	complement(230576..231460)	hypothetical protein
pkt:AT984_01045	CDS	complement(231592..232248)	hypothetical protein
pkt:AT984_01050	CDS	complement(232538..234397)	hypothetical protein
pkt:AT984_01055	CDS	complement(234415..236079)	hypothetical protein
pkt:AT984_01060	CDS	complement(236100..236444)	hypothetical protein
pkt:AT984_01065	CDS	complement(236510..237010)	serine/threonine protein kinase
pkt:AT984_01070	CDS	complement(239077..239562)	hypothetical protein
pkt:AT984_01075	CDS	complement(239576..240937)	hypothetical protein
pkt:AT984_01080	CDS	complement(241006..244797)	hypothetical protein
pkt:AT984_01085	CDS	245001..245669	short-chain dehydrogenase
pkt:AT984_01090	CDS	245703..246521	hypothetical protein
pkt:AT984_01095	CDS	246522..247151	hypothetical protein
pkt:AT984_01100	CDS	247248..248378	acyl-CoA dehydrogenase
pkt:AT984_01105	CDS	248513..249184	hypothetical protein
pkt:AT984_01110	gene	249329..250870	pseudogene
pkt:AT984_01115	CDS	250974..254000	hypothetical protein
pkt:AT984_01120	CDS	254163..254822	2-hydroxychromene-2-carboxylate isomerase
pkt:AT984_01125	CDS	complement(254806..255042)	hypothetical protein
pkt:AT984_01130	CDS	complement(255039..256586)	malonyl-CoA synthase
pkt:AT984_01135	CDS	256704..258245	Fis family transcriptional regulator
pkt:AT984_01140	CDS	258436..259968	hypothetical protein
pkt:AT984_01145	CDS	260448..261704	ABC transporter permease
pkt:AT984_01150	CDS	262159..262902	ABC transporter ATP-binding protein
pkt:AT984_01155	CDS	262953..263699	ABC transporter ATP-binding protein
pkt:AT984_01160	CDS	263696..264706	ABC transporter permease
pkt:AT984_01165	CDS	264712..265794	ABC transporter permease
pkt:AT984_01170	CDS	265807..267918	D-(-)-3-hydroxybutyrate oligomer hydrolase
pkt:AT984_01175	CDS	268019..268861	hydrolase
pkt:AT984_01180	CDS	complement(268956..269510)	hypothetical protein
pkt:AT984_01185	CDS	269867..275527	excinuclease ABC subunit A
pkt:AT984_01190	CDS	complement(275593..276060)	hypothetical protein
pkt:AT984_01195	gene	276540..278702	pseudogene
pkt:AT984_01200	CDS	278930..279871	phosphate acetyltransferase
pkt:AT984_01205	CDS	279931..281136	acetate kinase
pkt:AT984_01210	CDS	complement(281197..281508)	hypothetical protein
pkt:AT984_01215	CDS	281634..284414	hypothetical protein
pkt:AT984_01220	CDS	complement(284527..284853)	hypothetical protein
pkt:AT984_01225	CDS	complement(285000..286523)	peptidase
pkt:AT984_01230	CDS	complement(286526..287179)	hypothetical protein
pkt:AT984_01235	CDS	complement(287290..287517)	hypothetical protein
pkt:AT984_01240	CDS	complement(287527..288444)	hypothetical protein
pkt:AT984_01245	CDS	288603..289049	hypothetical protein
pkt:AT984_01250	CDS	289126..289980	hypothetical protein
pkt:AT984_01255	CDS	complement(290469..290672)	hypothetical protein
pkt:AT984_01260	CDS	complement(290740..291162)	hypothetical protein
pkt:AT984_01265	CDS	complement(291351..292733)	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
pkt:AT984_01270	CDS	complement(292778..293482)	hypothetical protein
pkt:AT984_01275	CDS	complement(293557..294510)	tRNA 2-thiocytidine biosynthesis protein TtcA
pkt:AT984_01280	CDS	complement(294531..294899)	dihydroneopterin aldolase
pkt:AT984_01285	CDS	296085..298175	hypothetical protein
pkt:AT984_01290	CDS	complement(298101..298757)	sulfoxide reductase heme-binding subunit YedZ
pkt:AT984_01295	CDS	complement(298761..299750)	sulfoxide reductase catalytic subunit YedY
pkt:AT984_01300	CDS	complement(299857..301224)	cytochrome C assembly protein
pkt:AT984_01305	CDS	complement(301221..303401)	cytochrome C biogenesis protein ResB
pkt:AT984_01310	CDS	complement(303536..304153)	cytochrome C
pkt:AT984_01315	CDS	304224..304991	GTP-binding protein
pkt:AT984_01320	CDS	complement(305021..307234)	patatin
pkt:AT984_01325	CDS	complement(307260..309266)	hypothetical protein
pkt:AT984_01330	CDS	complement(309473..311122)	groEL; molecular chaperone GroEL
pkt:AT984_01335	CDS	complement(311250..311540)	molecular chaperone GroES
pkt:AT984_01340	CDS	complement(312394..313713)	arabinose ABC transporter permease
pkt:AT984_01345	CDS	313862..314944	cytochrome ubiquinol oxidase subunit II
pkt:AT984_01350	CDS	315021..317024	cytochrome ubiquinol oxidase subunit I
pkt:AT984_01355	CDS	317051..317683	cytochrome o ubiquinol oxidase subunit III
pkt:AT984_01360	CDS	317680..318096	hypothetical protein
pkt:AT984_01365	CDS	318171..318917	hypothetical protein
pkt:AT984_01370	CDS	318907..320241	histidine kinase
pkt:AT984_01375	CDS	320321..320866	two-component system response regulator
pkt:AT984_01380	CDS	321102..321284	hypothetical protein
pkt:AT984_01385	CDS	321325..323082	hypothetical protein
pkt:AT984_01390	CDS	323141..323998	hypothetical protein
pkt:AT984_01395	CDS	324001..324627	threonine transporter RhtB
pkt:AT984_01400	CDS	complement(324654..325547)	phosphatidylserine decarboxylase
pkt:AT984_01405	CDS	325612..327291	glutamate-1-semialdehyde 2,1-aminomutase
pkt:AT984_01410	CDS	complement(327403..328014)	hypothetical protein
pkt:AT984_01415	CDS	328162..329424	glycoside hydrolase
pkt:AT984_01420	CDS	complement(329470..330021)	hypothetical protein
pkt:AT984_01425	CDS	complement(330038..331150)	hypothetical protein
pkt:AT984_01430	CDS	complement(331162..332358)	amidohydrolase
pkt:AT984_01435	CDS	complement(332464..333621)	ABC transporter permease
pkt:AT984_01440	CDS	333742..335838	molybdopterin oxidoreductase
pkt:AT984_01445	CDS	335835..336932	aminopeptidase
pkt:AT984_01450	CDS	336936..337322	polyhydroxyalkanoic acid synthase
pkt:AT984_01455	CDS	complement(337360..337611)	acyl-CoA-binding protein
pkt:AT984_01460	CDS	337695..339119	diacylglycerol O-acyltransferase
pkt:AT984_01465	CDS	339123..340106	hypothetical protein
pkt:AT984_01470	CDS	complement(340188..340961)	hypothetical protein
pkt:AT984_01475	CDS	complement(340975..341634)	TetR family transcriptional regulator
pkt:AT984_01480	CDS	341810..342763	ABC transporter ATP-binding protein
pkt:AT984_01485	CDS	342760..343530	metal-dependent hydrolase
pkt:AT984_01490	CDS	343744..345735	peptidase S9C family protein
pkt:AT984_01495	CDS	345800..346051	BolA family transcriptional regulator
pkt:AT984_01500	CDS	346065..346703	hisG; ATP phosphoribosyltransferase
pkt:AT984_01505	CDS	346734..348044	histidinol dehydrogenase
pkt:AT984_01510	CDS	complement(348101..348979)	hypothetical protein
pkt:AT984_01515	CDS	349236..349457	CopG family transcriptional regulator
pkt:AT984_01520	CDS	349454..349924	twitching motility protein PilT
pkt:AT984_01525	CDS	349921..351006	histidinol-phosphate aminotransferase
pkt:AT984_01530	CDS	351006..351623	imidazoleglycerol-phosphate dehydratase
pkt:AT984_01535	CDS	351625..352272	hisH; imidazole glycerol phosphate synthase subunit HisH
pkt:AT984_01540	CDS	352365..353114	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
pkt:AT984_01545	CDS	353265..354044	imidazole glycerol phosphate synthase cyclase subunit
pkt:AT984_01550	CDS	354064..354699	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
pkt:AT984_01555	CDS	354858..355304	phosphopantetheine adenylyltransferase
pkt:AT984_01560	CDS	355314..355568	ferredoxin
pkt:AT984_01565	CDS	complement(355595..356161)	hypothetical protein
pkt:AT984_01570	CDS	complement(356158..356958)	cobalamin synthase
pkt:AT984_01575	CDS	complement(356989..358032)	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
pkt:AT984_01580	CDS	complement(358032..358844)	cobalamin-binding protein
pkt:AT984_01585	CDS	complement(358841..360310)	cobalamin biosynthesis protein CobQ
pkt:AT984_01590	CDS	complement(360307..361341)	hypothetical protein
pkt:AT984_01595	CDS	complement(361338..362276)	hypothetical protein
pkt:AT984_01600	CDS	complement(362276..362845)	cob(I)yrinic acid a,c-diamide adenosyltransferase
pkt:AT984_01605	CDS	complement(362856..364172)	cobyrinic acid a,c-diamide synthase
pkt:AT984_01610	gene	complement(364255..365031)	pseudogene
pkt:AT984_01615	CDS	complement(365028..366035)	ABC transporter permease
pkt:AT984_01620	CDS	complement(366038..366952)	ABC transporter substrate-binding protein
pkt:AT984_01625	CDS	complement(366970..367551)	hypothetical protein
pkt:AT984_01630	CDS	complement(367709..369682)	hypothetical protein
pkt:AT984_01635	CDS	complement(369986..370459)	hypothetical protein
pkt:AT984_01640	gene	complement(370579..371181)	pseudogene
pkt:AT984_01645	CDS	371263..371619	hypothetical protein
pkt:AT984_01650	CDS	complement(371678..372439)	hypothetical protein
pkt:AT984_01655	CDS	complement(372600..373226)	50S ribosomal protein L25
pkt:AT984_01660	CDS	complement(373345..374307)	ribose-phosphate pyrophosphokinase
pkt:AT984_01665	tRNA	complement(374434..374510)	tRNA-Gln
pkt:AT984_01670	CDS	complement(374565..375566)	ipk; 4-diphosphocytidyl-2C-methyl-D-erythritol kinase
pkt:AT984_01675	CDS	complement(375585..376172)	hypothetical protein
pkt:AT984_01680	CDS	complement(376202..378052)	hypothetical protein
pkt:AT984_01685	CDS	378139..378978	formamidopyrimidine-DNA glycosylase
pkt:AT984_01690	CDS	378963..379994	A/G-specific adenine glycosylase
pkt:AT984_01695	CDS	380021..380323	hypothetical protein
pkt:AT984_01700	CDS	complement(380363..381247)	nucleotide-binding protein
pkt:AT984_01705	CDS	complement(381322..383016)	DNA repair protein RecN
pkt:AT984_01710	CDS	complement(383059..383934)	ppnK; NAD(+) kinase
pkt:AT984_01715	CDS	384025..385044	HrcA family transcriptional regulator
pkt:AT984_01720	tRNA	385109..385186	tRNA-Met
pkt:AT984_01725	CDS	385333..386118	diguanylate phosphodiesterase
pkt:AT984_01730	CDS	386257..387435	hypothetical protein
pkt:AT984_01735	CDS	387489..388142	glutathione S-transferase
pkt:AT984_01740	gene	complement(388242..388682)	pseudogene
pkt:AT984_01745	CDS	388995..389549	GNAT family acetyltransferase
pkt:AT984_01750	CDS	complement(389546..390148)	esterase
pkt:AT984_01755	CDS	390452..393265	hypothetical protein
pkt:AT984_01760	CDS	393444..394448	magnesium transporter CorA
pkt:AT984_01765	CDS	394523..394768	hypothetical protein
pkt:AT984_01770	CDS	complement(394912..396285)	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
pkt:AT984_01775	CDS	complement(396323..396997)	hypothetical protein
pkt:AT984_01780	CDS	complement(397018..398304)	glutamate-1-semialdehyde aminotransferase
pkt:AT984_01785	CDS	complement(398388..399380)	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
pkt:AT984_01790	CDS	399625..399777	rubredoxin
pkt:AT984_01795	CDS	399880..400299	two-component system response regulator
pkt:AT984_01800	CDS	400369..400740	two-component system response regulator
pkt:AT984_01805	CDS	400737..401315	hypothetical protein
pkt:AT984_01810	CDS	401493..403829	chemotaxis protein
pkt:AT984_01815	CDS	403844..410404	hypothetical protein
pkt:AT984_01820	CDS	410542..411579	diguanylate cyclase
pkt:AT984_01825	CDS	411755..412801	hypothetical protein
pkt:AT984_01830	CDS	complement(412773..414239)	deoxyribodipyrimidine photolyase
pkt:AT984_01835	CDS	414273..414851	hypothetical protein
pkt:AT984_01840	CDS	414851..415258	Holliday junction resolvase
pkt:AT984_01845	CDS	415255..415755	uracil phosphoribosyltransferase
pkt:AT984_01850	CDS	415767..416729	pyrB; aspartate carbamoyltransferase catalytic subunit
pkt:AT984_01855	CDS	416726..418060	dihydroorotase
pkt:AT984_01860	CDS	418066..418803	lyso-ornithine lipid acyltransferase
pkt:AT984_01865	CDS	418821..419708	phosphoribosylpyrophosphate synthetase
pkt:AT984_01870	CDS	complement(419801..420544)	gpmA; phosphoglyceromutase
pkt:AT984_01875	CDS	420852..422030	hypothetical protein
pkt:AT984_01880	CDS	422059..422484	hypothetical protein
pkt:AT984_01885	CDS	422545..424056	hypothetical protein
pkt:AT984_01890	CDS	424219..424629	sulfurtransferase
pkt:AT984_01895	CDS	424749..425009	glutaredoxin
pkt:AT984_01900	CDS	425154..425615	protein-export protein SecB
pkt:AT984_01905	CDS	425693..426715	glycerol-3-phosphate dehydrogenase
pkt:AT984_01910	CDS	426725..427705	ABC transporter substrate-binding protein
pkt:AT984_01915	CDS	complement(427742..428212)	rRNA methylase
pkt:AT984_01920	CDS	complement(428234..428989)	hypothetical protein
pkt:AT984_01925	CDS	429118..429969	hypothetical protein
pkt:AT984_01930	CDS	430239..431435	cytochrome C oxidase subunit II
pkt:AT984_01935	CDS	431563..433209	cytochrome oxidase subunit I
pkt:AT984_01940	CDS	433340..433975	cytochrome C oxidase assembly protein
pkt:AT984_01945	CDS	434050..434232	hypothetical protein
pkt:AT984_01950	CDS	434293..435177	MFS transporter
pkt:AT984_01955	CDS	complement(435265..435504)	hypothetical protein
pkt:AT984_01960	CDS	435571..436320	hypothetical protein
pkt:AT984_01965	CDS	436259..436972	hypothetical protein
pkt:AT984_01970	CDS	436944..438104	cytochrome C oxidase subunit I
pkt:AT984_01975	CDS	438148..439071	protoheme IX farnesyltransferase
pkt:AT984_01980	CDS	439072..439701	photosynthetic protein synthase I
pkt:AT984_01985	CDS	complement(439808..440734)	RNA polymerase factor sigma-32
pkt:AT984_01990	CDS	complement(440930..441439)	chemotaxis protein CheW
pkt:AT984_01995	CDS	441867..442463	lipocalin
pkt:AT984_02000	CDS	442513..443418	epimerase
pkt:AT984_02005	CDS	complement(443478..444569)	ychF; GTP-binding protein
pkt:AT984_02010	CDS	444684..445793	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
pkt:AT984_02015	CDS	445847..446572	disulfide isomerase
pkt:AT984_02020	CDS	446655..447125	hypothetical protein
pkt:AT984_02025	CDS	447129..448907	peptidase M61
pkt:AT984_02030	CDS	448892..449971	hypothetical protein
pkt:AT984_02035	CDS	450008..450802	enoyl-CoA hydratase
pkt:AT984_02040	CDS	complement(450934..452457)	lysine--tRNA ligase
pkt:AT984_02045	CDS	452596..453654	oxidoreductase
pkt:AT984_02050	CDS	453656..454267	serine acetyltransferase
pkt:AT984_02055	CDS	454285..455391	aminotransferase DegT
pkt:AT984_02060	gene	455435..456628	pseudogene
