ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_00660c	CDS	complement(63145..64482)	Phosphoglucosamine mutase
ccol:BN865_00670c	CDS	complement(64578..65606)	Cytochrome c551 peroxidase
ccol:BN865_00680	CDS	65786..66397	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY
ccol:BN865_00690	CDS	66382..66699	Dihydroneopterin aldolase
ccol:BN865_00700	CDS	66778..67200	Phosphate regulon transcriptional regulatory protein PhoB (SphR)
ccol:BN865_00710	CDS	67178..67450	Phosphate regulon transcriptional regulatory protein PhoB (SphR)
ccol:BN865_00720	CDS	67565..67810	4Fe-4S ferredoxin, iron-sulfur binding
ccol:BN865_00730	CDS	67810..69270	Exopolyphosphatase
ccol:BN865_00740c	CDS	complement(69267..70061)	Probable transmembrane protein Cj0352
ccol:BN865_00750c	CDS	complement(70061..70369)	Flagellar motor switch protein FliN
ccol:BN865_00760c	CDS	complement(70369..70791)	Putative uncharacterized protein FIG019238
ccol:BN865_00770c	CDS	complement(70861..71610)	Tryptophan synthase alpha chain
ccol:BN865_00780c	CDS	complement(71673..72782)	Tryptophan synthase beta chain
ccol:BN865_00790c	CDS	complement(72779..73378)	Phosphoribosylanthranilate isomerase
ccol:BN865_00800c	CDS	complement(73365..74957)	Anthranilate synthase, amidotransferase component / Anthranilate phosphoribosyltransferase
ccol:BN865_00810c	CDS	complement(74959..76200)	Anthranilate synthase, aminase component
ccol:BN865_00820	CDS	76584..77369	membrane protein
ccol:BN865_00830	CDS	77442..80270	Excinuclease ABC subunit A
ccol:BN865_00840	CDS	80293..80736	Putative integral membrane protein
ccol:BN865_00850	CDS	80800..83439	DNA polymerase I
ccol:BN865_00860	CDS	83455..84231	Flagellar motor rotation protein MotA
ccol:BN865_00870	CDS	84234..84962	Flagellar motor rotation protein MotB
ccol:BN865_00880c	CDS	complement(84976..86064)	Flagellar biosynthesis protein FlhB
ccol:BN865_00890c	CDS	complement(86186..86782)	Alkyl hydroperoxide reductase subunit C-like protein
ccol:BN865_00900	CDS	87043..87327	Ferredoxin
ccol:BN865_00920	CDS	87428..87841	Nucleoside diphosphate kinase
ccol:BN865_00930	CDS	87841..88200	FIG00469629: hypothetical protein
ccol:BN865_00940	CDS	88224..88370	LSU ribosomal protein L32p
ccol:BN865_00950	CDS	88376..89362	Phosphate:acyl-ACP acyltransferase PlsX
ccol:BN865_00960	CDS	89355..90332	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII
ccol:BN865_00970c	CDS	complement(90460..91536)	Phosphoserine aminotransferase
ccol:BN865_00980c	CDS	complement(91546..92709)	Exodeoxyribonuclease VII large subunit
ccol:BN865_00990c	CDS	complement(92733..93440)	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE @ 2-heptaprenyl-1,4-naphthoquinone methyltransferase
ccol:BN865_01000c	CDS	complement(93440..94642)	FIG00469432: hypothetical protein
ccol:BN865_01010c	CDS	complement(94688..95098)	Peroxide stress regulator; Ferric uptake regulation protein; Fe2+/Zn2+ uptake regulation proteins
ccol:BN865_01020c	CDS	complement(95235..97112)	1-deoxy-D-xylulose 5-phosphate synthase
ccol:BN865_01030c	CDS	complement(97105..97938)	Flagellar assembly protein FliH
ccol:BN865_01050c	CDS	complement(97946..98974)	Flagellar motor switch protein FliG
ccol:BN865_01060c	CDS	complement(98974..100656)	Flagellar M-ring protein FliF
ccol:BN865_01080c	CDS	complement(100744..101838)	Biosynthetic Aromatic amino acid aminotransferase beta @ Histidinol-phosphate aminotransferase
ccol:BN865_01090c	CDS	complement(101825..102907)	Chorismate mutase I / Prephenate dehydratase
ccol:BN865_01100c	CDS	complement(102895..103662)	NagD, Predicted sugar phosphatases of the HAD superfamily
ccol:BN865_01110c	CDS	complement(103664..104872)	Diaminopimelate decarboxylase
ccol:BN865_01120c	CDS	complement(104914..105972)	Permease YjgP/YjgQ
ccol:BN865_01130c	CDS	complement(105974..106516)	Peptidyl-tRNA hydrolase
ccol:BN865_01140c	CDS	complement(106513..107049)	LSU ribosomal protein L25p
ccol:BN865_01150	CDS	107183..107512	Quaternary ammonium compound-resistance protein SugE
ccol:BN865_01160	CDS	107514..107828	Quaternary ammonium compound-resistance protein SugE
ccol:BN865_01170	CDS	107798..108409	Dethiobiotin synthetase
ccol:BN865_01180c	CDS	complement(108383..109666)	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
ccol:BN865_01190	CDS	109733..110875	8-amino-7-oxononanoate synthase
ccol:BN865_01200	CDS	110872..111483	Biotin synthesis protein BioG
ccol:BN865_01210	CDS	111480..112166	Biotin synthesis protein BioC
ccol:BN865_01220	CDS	112220..112969	Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)
ccol:BN865_01230	CDS	112966..113367	FIG00469761: hypothetical protein
ccol:BN865_01240	CDS	113360..114028	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)
ccol:BN865_01250	CDS	114038..114928	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)
ccol:BN865_01260	CDS	115083..115907	3-methyl-2-oxobutanoate hydroxymethyltransferase
ccol:BN865_01270	CDS	115918..116766	Pantoate--beta-alanine ligase
ccol:BN865_01280	CDS	116763..117143	Aspartate 1-decarboxylase
ccol:BN865_01290c	CDS	complement(117219..117869)	MoeB/thiF family protein
ccol:BN865_01300c	CDS	complement(117862..118638)	5-nucleotidase SurE
ccol:BN865_01310	CDS	118805..120175	glycerol-3-phosphate transporter
ccol:BN865_01320	CDS	120378..121154	Cytolethal distending toxin subunit A
ccol:BN865_01330	CDS	121179..121982	Cytolethal distending toxin subunit B
ccol:BN865_01340	CDS	121993..122565	Cytolethal distending toxin subunit C
ccol:BN865_01350c	CDS	complement(122689..123564)	Zinc transporter ZupT
ccol:BN865_01360	CDS	123710..124801	Lipid-A-disaccharide synthase; CAzY glycosyltransferase family GT19
ccol:BN865_01370	CDS	124819..125304	Transcription elongation factor GreA
ccol:BN865_01380	CDS	125437..126072	FIG022708: hypothetical protein
ccol:BN865_01390	CDS	126065..127018	Chemotaxis protein CheV
ccol:BN865_01400	CDS	127022..129319	Signal transduction histidine kinase CheA
ccol:BN865_01410	CDS	129324..129845	Positive regulator of CheA protein activity (CheW)
ccol:BN865_01420	CDS	129845..130468	Phosphoserine phosphatase
ccol:BN865_01430	CDS	130470..131456	Transaldolase
ccol:BN865_01440c	CDS	complement(131453..131875)	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
ccol:BN865_01450c	CDS	complement(131872..135141)	Carbamoyl-phosphate synthase large chain
ccol:BN865_01460c	CDS	complement(135303..136757)	2-methylcitrate dehydratase
ccol:BN865_01470c	CDS	complement(136767..137894)	2-methylcitrate synthase
ccol:BN865_01480c	CDS	complement(137891..138766)	Methylisocitrate lyase
ccol:BN865_01490c	CDS	complement(138766..140673)	Propionate--CoA ligase / Acetyl-coenzyme A synthetase
ccol:BN865_01500	CDS	140920..141843	hypothetical protein
ccol:BN865_01510c	CDS	complement(141838..142497)	Rod shape-determining protein MreC
ccol:BN865_01520c	CDS	complement(142576..143616)	Rod shape-determining protein MreB
ccol:BN865_01530c	CDS	complement(143629..144852)	ATP-dependent Clp protease ATP-binding subunit ClpX
ccol:BN865_01540c	CDS	complement(144845..145636)	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
ccol:BN865_01550c	CDS	complement(145647..146087)	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase
ccol:BN865_01560c	CDS	complement(146204..147295)	FIG053235: Diacylglucosamine hydrolase like
ccol:BN865_01570c	CDS	complement(147295..147753)	Thiol peroxidase, Bcp-type
ccol:BN865_01580c	CDS	complement(147750..147956)	4-oxalocrotonate tautomerase
ccol:BN865_01590	CDS	148201..149115	Branched-chain amino acid aminotransferase
ccol:BN865_01600	CDS	149132..150214	Membrane protease family protein HP0248
ccol:BN865_01610	CDS	150225..150755	membrane protein
ccol:BN865_01620	CDS	150755..151264	membrane protein
ccol:BN865_01630	CDS	151380..153086	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_01640	CDS	153298..153498	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_01650	CDS	153827..154537	FIG00471707: hypothetical protein
ccol:BN865_01660c	CDS	complement(154637..155641)	Dihydroorotase
ccol:BN865_01670c	CDS	complement(155732..155974)	Putative helix-turn-helix motif protein
ccol:BN865_01680c	CDS	complement(155965..156165)	Diacylglycerol kinase
ccol:BN865_01690c	CDS	complement(156186..156320)	Diacylglycerol kinase
ccol:BN865_01700c	CDS	complement(156317..157867)	membrane protein
ccol:BN865_01710	CDS	157984..158742	Exodeoxyribonuclease III
ccol:BN865_01720c	CDS	complement(158816..159901)	FIG00469373: hypothetical protein
ccol:BN865_01730c	CDS	complement(159917..160180)	FIG00469877: hypothetical protein
ccol:BN865_01740c	CDS	complement(160158..160631)	Molybdenum cofactor biosynthesis protein MoaC
ccol:BN865_01750	CDS	160725..160877	Highly acidic protein
ccol:BN865_01760	CDS	160880..162190	L-Proline/Glycine betaine transporter ProP
ccol:BN865_01770c	CDS	complement(162159..162635)	FIG00469742: hypothetical protein
ccol:BN865_01780c	CDS	complement(162657..163520)	Predicted signal transduction protein
ccol:BN865_01790c	CDS	complement(163719..164090)	LSU ribosomal protein L20p
ccol:BN865_01800c	CDS	complement(164186..164377)	LSU ribosomal protein L35p
ccol:BN865_01810	CDS	164516..165697	FIG00469687: hypothetical protein
ccol:BN865_01820	CDS	165777..166184	Hemerythrin-like iron-binding protein
ccol:BN865_01830	CDS	166465..167646	Cysteine desulfurase
ccol:BN865_01840	CDS	167658..168629	Iron-sulfur cluster assembly scaffold protein IscU/NifU-like
ccol:BN865_01850c	CDS	complement(168667..170547)	membrane protein
ccol:BN865_01860c	CDS	complement(170544..171179)	Carbonic anhydrase
ccol:BN865_01870	CDS	171337..172032	membrane protein
ccol:BN865_01880	CDS	172140..172394	Preprotein translocase subunit SecG (TC 3.A.5.1.1)
ccol:BN865_01890	CDS	172514..173071	Ribosome recycling factor
ccol:BN865_01900	CDS	173074..173682	Orotate phosphoribosyltransferase
ccol:BN865_01910	CDS	173683..174093	Putative integral membrane protein
ccol:BN865_01920	CDS	174107..175129	Ribonucleotide reductase of class Ia (aerobic), beta subunit
ccol:BN865_01930	CDS	175152..176540	Nicotinate phosphoribosyltransferase
ccol:BN865_01940c	CDS	complement(176649..177188)	carbonic anhydrase, family 3
ccol:BN865_01950	CDS	177306..177935	Protein-L-isoaspartate O-methyltransferase
ccol:BN865_01960c	CDS	complement(177954..179138)	Acetylornithine aminotransferase / N-succinyl-L,L-diaminopimelate aminotransferase
ccol:BN865_01970c	CDS	complement(179148..179987)	Acetylglutamate kinase
ccol:BN865_01980c	CDS	complement(179997..180443)	Predicted amino-acid acetyltransferase complementing ArgA function in Arginine Biosynthesis pathway
ccol:BN865_01990c	CDS	complement(180454..181482)	N-acetyl-gamma-glutamyl-phosphate reductase
ccol:BN865_02000c	CDS	complement(181551..185168)	Serine protease autotransporter, MEROPS family S6
ccol:BN865_02010c	CDS	complement(185226..185816)	DNA modification methylase (Adenine-specific methyltransferase)
ccol:BN865_02020c	CDS	complement(185824..186318)	DNA modification methylase (Adenine-specific methyltransferase)
ccol:BN865_02030c	CDS	complement(186358..186876)	Translation initiation factor 3
ccol:BN865_02040c	CDS	complement(186873..188681)	Threonyl-tRNA synthetase
ccol:BN865_02050c	CDS	complement(188814..189617)	Undecaprenyl-diphosphatase
ccol:BN865_02060c	CDS	complement(189730..191721)	oligopeptide transporter
ccol:BN865_02070	CDS	192010..192318	Putative periplasmic protein
ccol:BN865_02080	CDS	192422..193564	Putative periplasmic protein
ccol:BN865_02090	CDS	193564..194199	Helicase-like protein
ccol:BN865_02100	CDS	194207..194746	Helicase-like protein
ccol:BN865_02110	CDS	194816..195544	Dihydrodipicolinate reductase
ccol:BN865_02120	CDS	195546..196883	Amidophosphoribosyltransferase
ccol:BN865_02130c	CDS	complement(196887..197699)	CAAX amino terminal protease family protein
ccol:BN865_02140	CDS	198003..199742	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_02150c	CDS	complement(199930..201315)	Flagellum-specific ATP synthase FliI
ccol:BN865_02160c	CDS	complement(201315..201917)	GTP cyclohydrolase I type 1
ccol:BN865_02170	CDS	202008..203333	Cell division trigger factor
ccol:BN865_02180	CDS	203333..203917	ATP-dependent Clp protease proteolytic subunit
ccol:BN865_02190	CDS	203946..204473	Peptide deformylase
ccol:BN865_02200	CDS	204470..205975	Peptide deformylase
ccol:BN865_02210	CDS	205977..206675	FIG00469713: hypothetical protein
ccol:BN865_02220	CDS	206659..208029	NAD(P)HX epimerase / NAD(P)HX dehydratase
ccol:BN865_02230	CDS	208020..208595	Phosphoribosylglycinamide formyltransferase
ccol:BN865_02240	CDS	208746..209486	Integral membrane protein TerC
ccol:BN865_02250	CDS	209588..209746	Alkylphosphonate utilization operon protein PhnA
ccol:BN865_02260	CDS	209755..210939	Putative serine/threonine protein phosphatase
ccol:BN865_02270c	CDS	complement(210952..212316)	Hemolysins and related proteins containing CBS domains
ccol:BN865_02280	CDS	212434..213561	major facilitator family transporter, putative
ccol:BN865_02290c	CDS	complement(213552..214772)	Transmembrane transport protein
ccol:BN865_02300c	CDS	complement(214823..215569)	Ferric siderophore transport system, periplasmic binding protein TonB
ccol:BN865_02310c	CDS	complement(215571..215981)	Ferric siderophore transport system, biopolymer transport protein ExbD
ccol:BN865_02320c	CDS	complement(215968..216729)	Ferric siderophore transport system, biopolymer transport protein ExbB
ccol:BN865_02330c	CDS	complement(216741..219008)	Putative outer membrane siderophore receptor
ccol:BN865_02340c	CDS	complement(219005..219856)	Putative lipoprotein, similar to CjrA of Escherichia coli O164
ccol:BN865_02350	CDS	220219..221223	Ferric iron ABC transporter, iron-binding protein
ccol:BN865_02360	CDS	221223..222839	Ferric iron ABC transporter, permease protein
ccol:BN865_02370	CDS	222826..223731	Putative iron-uptake ABC transport system ATP-binding protein
ccol:BN865_02380	CDS	223767..224972	Carboxynorspermidine dehydrogenase
ccol:BN865_02390c	CDS	complement(224999..225661)	Superoxide dismutase [Fe]
ccol:tRNA-Glu	tRNA	complement(225875..225946)	tRNA-Glu
ccol:BN865_02400	CDS	226120..226683	membrane protein
ccol:BN865_02410c	CDS	complement(226669..227538)	tRNA dimethylallyltransferase
ccol:BN865_02420	CDS	227609..228493	Menaquinone via futalosine polyprenyltransferase (MenA homolog)
ccol:BN865_02430	CDS	228484..228981	FIG00469824: hypothetical protein
ccol:BN865_02450	CDS	228978..229496	Putative periplasmic protein
ccol:BN865_02460	CDS	229599..230477	Molybdenum cofactor biosynthesis protein MoaA
ccol:BN865_02470	CDS	230480..231223	Queuosine Biosynthesis QueE Radical SAM
ccol:BN865_02480	CDS	231220..231801	Queuosine biosynthesis QueD, PTPS-I
ccol:BN865_02490	CDS	231801..232223	Putative haem-binding lipoprotein
ccol:BN865_02500	CDS	232224..232631	Ribosomal RNA small subunit methyltransferase E
ccol:BN865_02510	CDS	232632..233285	Ribosomal RNA small subunit methyltransferase E
ccol:BN865_02520	CDS	233364..233564	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent
ccol:BN865_02530	CDS	233567..234391	rRNA small subunit methyltransferase I
ccol:BN865_02540	CDS	234405..235088	23S rRNA (guanosine-2'-O-)-methyltransferase rlmB
ccol:BN865_02550	CDS	235081..236040	membrane protein
ccol:BN865_02560	CDS	236034..236840	Putative periplasmic protein
ccol:BN865_02570	CDS	236853..238058	Aspartate aminotransferase
ccol:BN865_02580	CDS	238060..239310	Homoserine dehydrogenase
ccol:BN865_02590	CDS	239310..239648	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
ccol:BN865_02600	CDS	239704..240018	Thioredoxin
ccol:BN865_02610	CDS	240153..241091	Thioredoxin reductase
ccol:BN865_02620c	CDS	complement(241225..243006)	PhoX, Predicted phosphatase
ccol:BN865_02630c	CDS	complement(243265..245244)	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_02640	CDS	245451..246305	Zinc ABC transporter, periplasmic-binding protein ZnuA
ccol:BN865_02650	CDS	246318..247172	Zinc ABC transporter, ATP-binding protein ZnuC
ccol:BN865_02660	CDS	247165..247971	Zinc ABC transporter, inner membrane permease protein ZnuB
ccol:BN865_02670c	CDS	complement(247960..249330)	FIG00470474: hypothetical protein
ccol:BN865_02680c	CDS	complement(249296..251335)	McrBC restriction endonuclease system, McrB subunit, putative
ccol:BN865_02690c	CDS	complement(251346..251633)	McrBC restriction endonuclease system, McrB subunit, putative
ccol:BN865_02700c	CDS	complement(251707..252150)	FIG000325: clustered with transcription termination protein NusA
ccol:BN865_02710c	CDS	complement(252140..252502)	Ribosome-binding factor A
ccol:BN865_02720c	CDS	complement(252499..255069)	Translation initiation factor 2
ccol:BN865_02740c	CDS	complement(255056..255349)	Hypothetical protein Cj0135
ccol:BN865_02750c	CDS	complement(255343..256221)	Homoserine kinase
ccol:BN865_02760c	CDS	complement(256238..256639)	Inactive homolog of metal-dependent proteases, putative molecular chaperone
ccol:BN865_02770c	CDS	complement(256678..257562)	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
ccol:BN865_02780c	CDS	complement(257562..258935)	FIG00711593: hypothetical protein
ccol:BN865_02790c	CDS	complement(259034..259861)	Prephenate and/or arogenate dehydrogenase (unknown specificity)
ccol:BN865_02820	CDS	259937..262153	Outer membrane protein assembly factor YaeT precursor
ccol:BN865_02830	CDS	262153..262869	Putative fructose-1,6-bisphosphatase or related enzymes of inositol monophosphatase family
ccol:BN865_02840	CDS	262884..263726	Acetyl-coenzyme A carboxyl transferase beta chain
ccol:BN865_02850	CDS	263728..264177	LSU m3Psi1915 methyltransferase RlmH
ccol:BN865_02860	CDS	264191..264544	C4-type zinc finger protein, DksA/TraR family
ccol:BN865_02870	CDS	264541..265527	Probable membrane protein Cj0124c
ccol:BN865_02880	CDS	265524..266441	tRNA dihydrouridine synthase B
ccol:BN865_02890c	CDS	complement(266512..267171)	FIG00470444: hypothetical protein
ccol:BN865_02900c	CDS	complement(267304..267711)	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly
ccol:BN865_02910c	CDS	complement(267708..268322)	FIG00469965: hypothetical protein
ccol:BN865_02920c	CDS	complement(268322..268843)	Nicotinamidase
ccol:BN865_02930c	CDS	complement(268848..269603)	tRNA(Cytosine32)-2-thiocytidine synthetase
ccol:BN865_02940c	CDS	complement(269600..270286)	Menaquinone via 6-amino-6-deoxyfutalosine step 2
ccol:BN865_02950c	CDS	complement(270286..271206)	Malonyl CoA-acyl carrier protein transacylase
ccol:BN865_02960c	CDS	complement(271208..271780)	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
ccol:BN865_02970c	CDS	complement(271796..272746)	TPR repeat containing exported protein; Putative periplasmic protein contains a protein prenylyltransferase domain
ccol:BN865_02980c	CDS	complement(272750..273247)	Outer membrane lipoprotein omp16 precursor
ccol:BN865_02990c	CDS	complement(273325..274536)	tolB protein precursor, periplasmic protein involved in the tonb-independent uptake of group A colicins
ccol:BN865_03010c	CDS	complement(274550..275326)	TonB-like; putative TolA function
ccol:BN865_03020c	CDS	complement(275331..275720)	Biopolymer transport protein ExbD/TolR
ccol:BN865_03030c	CDS	complement(275729..276283)	MotA/TolQ/ExbB proton channel family protein
ccol:BN865_03040c	CDS	complement(276284..276673)	ATP synthase epsilon chain
ccol:BN865_03050c	CDS	complement(276677..278074)	ATP synthase beta chain
ccol:BN865_03060c	CDS	complement(278101..278985)	ATP synthase gamma chain
ccol:BN865_03070c	CDS	complement(278995..280500)	ATP synthase alpha chain
ccol:BN865_03090c	CDS	complement(280513..281034)	ATP synthase delta chain
ccol:BN865_03100c	CDS	complement(281034..281546)	ATP synthase B chain
ccol:BN865_03110c	CDS	complement(281558..281983)	ATP synthase B' chain
ccol:BN865_03120c	CDS	complement(282048..282884)	Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J
ccol:BN865_03130c	CDS	complement(282889..283674)	Chromosome (plasmid) partitioning protein ParA
ccol:BN865_03140c	CDS	complement(283671..284324)	Biotin-protein ligase
ccol:BN865_03150c	CDS	complement(284287..285228)	Methionyl-tRNA formyltransferase
ccol:BN865_03160c	CDS	complement(285315..286070)	Glutamate 5-kinase
ccol:tRNA-Leu-1	tRNA	complement(286272..286353)	tRNA-Leu
ccol:tRNA-Arg-1	tRNA	complement(286362..286435)	tRNA-Arg
ccol:tRNA-Arg-2	tRNA	complement(286454..286527)	tRNA-Arg
ccol:tRNA-His	tRNA	complement(286535..286608)	tRNA-His
ccol:tRNA-Pro	tRNA	complement(286636..286710)	tRNA-Pro
ccol:BN865_03170c	CDS	complement(286757..287599)	DNA ligase (ATP)
ccol:BN865_03180c	CDS	complement(287596..288258)	Putative periplasmic protein
ccol:BN865_03190c	CDS	complement(288248..288451)	FIG00469414: hypothetical protein
ccol:BN865_03200c	CDS	complement(288517..289761)	Enolase
ccol:BN865_03210c	CDS	complement(289761..290792)	RecA protein
ccol:BN865_03220	CDS	290902..291765	Menaquinone via futalosine step 4
ccol:BN865_03230	CDS	291777..292046	Flagellar biosynthesis protein FliQ
ccol:BN865_03240	CDS	292043..292819	UDP-N-acetylenolpyruvoylglucosamine reductase
ccol:BN865_03250	CDS	292927..293100	hypothetical protein
ccol:BN865_03260c	CDS	complement(293105..293866)	Putative periplasmic protein
ccol:BN865_03270c	CDS	complement(293912..294676)	3'(2'),5'-bisphosphate nucleotidase
ccol:BN865_03280c	CDS	complement(294752..296020)	Citrate synthase (si)
ccol:BN865_03290c	CDS	complement(296146..297321)	NA+/H+ antiporter (napA), putative
ccol:BN865_03300c	CDS	complement(297302..298138)	Biotin synthase
ccol:BN865_03310c	CDS	complement(298141..300243)	DNA topoisomerase I
ccol:BN865_03320	CDS	300485..301744	Putative efflux protein
ccol:BN865_03330c	CDS	complement(301803..303068)	Preprotein translocase secY subunit (TC 3.A.5.1.1)
ccol:BN865_03340c	CDS	complement(303068..303460)	LSU ribosomal protein L15p (L27Ae)
ccol:BN865_03350c	CDS	complement(303465..303908)	SSU ribosomal protein S5p (S2e)
