arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_pI66410	CDS	pHiyo8-1:36077..36226	inositol 2-dehydrogenase
arh:AHiyo8_pI66420	CDS	pHiyo8-1:36289..36642	hypothetical protein
arh:AHiyo8_pI66430	CDS	pHiyo8-1:36639..36923	hypothetical protein
arh:AHiyo8_pI66440	CDS	pHiyo8-1:37303..38265	uncharacterized oxidoreductase YccK
arh:AHiyo8_pI66450	CDS	pHiyo8-1:complement(38363..38956)	DNA-invertase
arh:AHiyo8_pI66460	CDS	pHiyo8-1:complement(39246..39800)	putative uncharacterized hydrolase YsaA
arh:AHiyo8_pI66470	CDS	pHiyo8-1:complement(39988..40224)	hypothetical protein
arh:AHiyo8_pI66480	CDS	pHiyo8-1:40585..40803	hypothetical protein
arh:AHiyo8_pI66490	CDS	pHiyo8-1:complement(41366..42091)	hypothetical protein
arh:AHiyo8_pI66500	CDS	pHiyo8-1:complement(42088..42918)	sporulation initiation inhibitor protein Soj
arh:AHiyo8_pI66510	CDS	pHiyo8-1:complement(44156..45127)	hypothetical protein
arh:AHiyo8_pI66520	CDS	pHiyo8-1:complement(45250..45660)	hypothetical protein
arh:AHiyo8_pI66530	CDS	pHiyo8-1:complement(45842..45994)	hypothetical protein
arh:AHiyo8_pI66540	CDS	pHiyo8-1:complement(46676..47173)	hypothetical protein
arh:AHiyo8_pI66550	CDS	pHiyo8-1:complement(47167..48438)	hypothetical protein
arh:AHiyo8_pI66560	CDS	pHiyo8-1:complement(48715..48945)	hypothetical protein
arh:AHiyo8_pI66570	CDS	pHiyo8-1:49365..49643	hypothetical protein
arh:AHiyo8_pI66580	CDS	pHiyo8-1:49946..50272	hypothetical protein
arh:AHiyo8_pI66590	CDS	pHiyo8-1:51336..51878	hypothetical protein
arh:AHiyo8_pI66600	CDS	pHiyo8-1:51920..52453	hypothetical protein
arh:AHiyo8_pI66610	CDS	pHiyo8-1:52665..53390	hypothetical protein
arh:AHiyo8_pI66620	CDS	pHiyo8-1:53538..54050	conserved hypothetical protein
arh:AHiyo8_pI66630	CDS	pHiyo8-1:54047..54346	hypothetical protein
arh:AHiyo8_pI66640	CDS	pHiyo8-1:54343..54687	hypothetical protein
arh:AHiyo8_pI66650	CDS	pHiyo8-1:54822..55085	hypothetical protein
arh:AHiyo8_pI66660	CDS	pHiyo8-1:55082..55276	protein involved in conjugation with cellular fusion
arh:AHiyo8_pI66670	CDS	pHiyo8-1:55270..56211	protein involved in conjugation with cellular fusion
arh:AHiyo8_pI66680	CDS	pHiyo8-1:56317..56520	conserved hypothetical protein
arh:AHiyo8_pI66690	CDS	pHiyo8-1:56523..57227	conserved hypothetical protein
arh:AHiyo8_pI66700	CDS	pHiyo8-1:57167..57823	conserved hypothetical protein
arh:AHiyo8_pI66710	CDS	pHiyo8-1:57971..59428	hypothetical protein
arh:AHiyo8_pI66720	CDS	pHiyo8-1:59425..59586	hypothetical protein
arh:AHiyo8_pI66730	CDS	pHiyo8-1:59610..60281	hypothetical protein
arh:AHiyo8_pI66740	CDS	pHiyo8-1:60266..60592	hypothetical protein
arh:AHiyo8_pI66750	CDS	pHiyo8-1:complement(60537..60725)	hypothetical protein
arh:AHiyo8_pI66760	CDS	pHiyo8-1:60750..61742	hypothetical protein
arh:AHiyo8_pI66770	CDS	pHiyo8-1:61988..63559	transposase for transposon Tn21
arh:AHiyo8_pI66780	CDS	pHiyo8-1:63578..64990	probable transposase for insertion sequence element
arh:AHiyo8_pI66790	CDS	pHiyo8-1:complement(64862..66097)	transposase for insertion sequence element IS1328
arh:AHiyo8_pI66800	CDS	pHiyo8-1:66330..66632	probable transposase for insertion sequence element
arh:AHiyo8_pI66810	CDS	pHiyo8-1:complement(66800..68647)	transposase for transposon Tn21
arh:AHiyo8_pI66820	CDS	pHiyo8-1:complement(68799..69248)	hypothetical protein
arh:AHiyo8_pI66830	CDS	pHiyo8-1:complement(69230..70633)	tRNA nuclease WapA
arh:AHiyo8_pI66840	CDS	pHiyo8-1:complement(70666..71781)	protein RhsD
arh:AHiyo8_pI66850	CDS	pHiyo8-1:complement(71778..72893)	conserved hypothetical protein
arh:AHiyo8_pI66860	CDS	pHiyo8-1:complement(72896..73177)	conserved hypothetical protein
arh:AHiyo8_pI66870	CDS	pHiyo8-1:complement(73206..74387)	conserved hypothetical protein
arh:AHiyo8_pI66880	CDS	pHiyo8-1:complement(74405..74809)	conserved hypothetical protein
arh:AHiyo8_pI66890	CDS	pHiyo8-1:74938..75534	hypothetical protein
arh:AHiyo8_pI66900	CDS	pHiyo8-1:complement(75651..75785)	hypothetical protein
arh:AHiyo8_pI66910	CDS	pHiyo8-1:complement(75728..76114)	hypothetical protein
arh:AHiyo8_pI66920	CDS	pHiyo8-1:76678..76986	transposase
arh:AHiyo8_pI66930	CDS	pHiyo8-1:76986..77609	insertion element IS476 uncharacterized 39.2 kDa protein
arh:AHiyo8_pI66940	CDS	pHiyo8-1:77951..78319	hypothetical protein
arh:AHiyo8_pI66950	CDS	pHiyo8-1:78905..79429	hypothetical protein
arh:AHiyo8_pI66960	CDS	pHiyo8-1:79426..79617	hypothetical protein
arh:AHiyo8_pI66970	CDS	pHiyo8-1:79632..80294	hypothetical protein
arh:AHiyo8_pI66980	CDS	pHiyo8-1:80240..80644	hypothetical protein
arh:AHiyo8_pI66990	CDS	pHiyo8-1:80641..81369	uncharacterized ABC transporter ATP-binding protein YknY
arh:AHiyo8_pI67000	CDS	pHiyo8-1:81350..82597	macrolide export ATP-binding/permease protein MacB 2
arh:AHiyo8_pI67010	CDS	pHiyo8-1:complement(82937..83359)	DNA-invertase
arh:AHiyo8_pI67020	CDS	pHiyo8-1:complement(83588..84289)	transposase for transposon Tn4556
arh:AHiyo8_pI67030	CDS	pHiyo8-1:complement(84298..85377)	transposase for transposon Tn4556
arh:AHiyo8_pI67040	CDS	pHiyo8-1:complement(85431..85715)	transposase for transposon Tn4556
arh:AHiyo8_pI67050	CDS	pHiyo8-1:complement(85712..86776)	transposase for transposon gamma-delta
arh:AHiyo8_pI67060	CDS	pHiyo8-1:complement(86851..87042)	hypothetical protein
arh:AHiyo8_pI67070	CDS	pHiyo8-1:complement(87347..87556)	conserved hypothetical protein
arh:AHiyo8_pI67080	CDS	pHiyo8-1:complement(87802..88344)	transposon Tn552 resolvase
arh:AHiyo8_pI67090	CDS	pHiyo8-1:complement(88352..88762)	transposons Tn4653 resolvase
arh:AHiyo8_pI67100	CDS	pHiyo8-1:complement(88738..88923)	DNA-invertase
arh:AHiyo8_pI67110	CDS	pHiyo8-1:complement(89266..89703)	hypothetical protein
arh:AHiyo8_pI67120	CDS	pHiyo8-1:90162..90821	hypothetical protein
arh:AHiyo8_pI67130	CDS	pHiyo8-1:91040..91513	hypothetical protein
arh:AHiyo8_pI67140	CDS	pHiyo8-1:91782..91880	hypothetical protein
arh:AHiyo8_pI67150	CDS	pHiyo8-1:complement(91993..92787)	uncharacterized HAD-hydrolase MTH_209
arh:AHiyo8_pI67160	CDS	pHiyo8-1:complement(92898..93359)	hypothetical protein
arh:AHiyo8_pI67170	CDS	pHiyo8-1:complement(94166..94513)	HTH-type transcriptional repressor YtrA
arh:AHiyo8_pI67180	CDS	pHiyo8-1:complement(94510..95436)	hypothetical protein
arh:AHiyo8_pI67190	CDS	pHiyo8-1:complement(95774..96460)	putative uncharacterized protein YbfG
arh:AHiyo8_pI67200	CDS	pHiyo8-1:complement(96560..97411)	hypothetical protein
arh:AHiyo8_pI67210	CDS	pHiyo8-1:97794..98663	conserved hypothetical protein
arh:AHiyo8_pI67220	CDS	pHiyo8-1:complement(98818..99045)	transposase
arh:AHiyo8_pI67230	CDS	pHiyo8-1:complement(99042..100094)	transposase for transposon Tn1546
arh:AHiyo8_pI67240	CDS	pHiyo8-1:complement(100158..100460)	probable transposase for insertion sequence element
arh:AHiyo8_pI67250	CDS	pHiyo8-1:100693..101928	transposase for insertion sequence element IS1328
arh:AHiyo8_pI67260	CDS	pHiyo8-1:complement(101996..102817)	probable transposase for insertion sequence element
arh:AHiyo8_pI67270	CDS	pHiyo8-1:102841..104322	transposase for transposon Tn1546
arh:AHiyo8_pI67280	CDS	pHiyo8-1:complement(104917..105666)	hypothetical protein
arh:AHiyo8_pI67290	CDS	pHiyo8-1:complement(107105..107695)	probable diguanylate cyclase AdrA
arh:AHiyo8_pI67300	CDS	pHiyo8-1:complement(107692..108252)	diguanylate cyclase
arh:AHiyo8_pI67310	CDS	pHiyo8-1:108918..110315	transposase for insertion sequence element IS1086
arh:AHiyo8_pI67320	CDS	pHiyo8-1:complement(110343..111038)	transcriptional regulatory protein CitT
arh:AHiyo8_pI67330	CDS	pHiyo8-1:complement(111092..111661)	sensor protein CitS
arh:AHiyo8_pI67340	CDS	pHiyo8-1:complement(111661..111804)	histidine kinase
arh:AHiyo8_pI67350	CDS	pHiyo8-1:complement(111795..112193)	probable C4-dicarboxylate sensor kinase
arh:AHiyo8_pI67360	CDS	pHiyo8-1:complement(112190..112663)	sensor protein CitS
arh:AHiyo8_pI67370	CDS	pHiyo8-1:113184..113633	uncharacterized ABC transporter ATP-binding protein MJ0412
arh:AHiyo8_pI67380	CDS	pHiyo8-1:113633..113962	uncharacterized ABC transporter ATP-binding protein MJ0412
arh:AHiyo8_pI67390	CDS	pHiyo8-1:113959..114831	uncharacterized ABC transporter permease protein YtlD
arh:AHiyo8_pI67400	CDS	pHiyo8-1:114920..116026	putative binding protein YtlA
arh:AHiyo8_pI67410	CDS	pHiyo8-1:116186..116488	hypothetical protein
arh:AHiyo8_pI67420	CDS	pHiyo8-1:complement(117296..117790)	hypothetical protein
arh:AHiyo8_pI67430	CDS	pHiyo8-1:117871..118653	carboxylic acid transporter protein homolog
arh:AHiyo8_pI67440	CDS	pHiyo8-1:complement(118986..119342)	hypothetical protein
arh:AHiyo8_pI67450	CDS	pHiyo8-1:complement(119494..119787)	hypothetical protein
arh:AHiyo8_pI67460	CDS	pHiyo8-1:complement(120403..120606)	hypothetical protein
arh:AHiyo8_pI67470	CDS	pHiyo8-1:complement(120603..121142)	uncharacterized HTH-type transcriptional regulator Mb0904
arh:AHiyo8_pI67480	CDS	pHiyo8-1:complement(121216..121395)	hypothetical protein
arh:AHiyo8_pI67490	CDS	pHiyo8-1:121420..122190	uncharacterized MFS-type transporter YvkA
arh:AHiyo8_pI67500	CDS	pHiyo8-1:122208..123638	prolipoprotein diacylglyceryl transferase
arh:AHiyo8_pI67510	CDS	pHiyo8-1:123987..126347	penicillin-binding protein 1A
arh:AHiyo8_pI67520	CDS	pHiyo8-1:126344..126478	hypothetical protein
arh:AHiyo8_pI67530	CDS	pHiyo8-1:126858..127193	acid phosphatase
arh:AHiyo8_pI67540	CDS	pHiyo8-1:127190..128710	non-hemolytic phospholipase C
arh:AHiyo8_pI67550	CDS	pHiyo8-1:complement(128707..129312)	hypothetical protein
arh:AHiyo8_pI67560	CDS	pHiyo8-1:129414..130379	transposon Tn552 resolvase
arh:AHiyo8_pI67570	CDS	pHiyo8-1:complement(130600..131319)	hypothetical protein
arh:AHiyo8_pI67580	CDS	pHiyo8-1:132009..132947	40-Residue YVTN family beta-propeller repeat protein
arh:AHiyo8_pI67590	CDS	pHiyo8-1:complement(133018..133323)	hypothetical protein
arh:AHiyo8_pI67600	CDS	pHiyo8-1:133632..133853	insertion element IS407 uncharacterized 10.0 kDa protein
arh:AHiyo8_pI67610	CDS	pHiyo8-1:133883..134095	hypothetical protein
arh:AHiyo8_pI67620	CDS	pHiyo8-1:134226..134648	DNA-invertase
arh:AHiyo8_pI67630	CDS	pHiyo8-1:134698..135393	hypothetical protein
arh:AHiyo8_pI67640	CDS	pHiyo8-1:135930..136847	conserved hypothetical protein
arh:AHiyo8_pI67650	CDS	pHiyo8-1:137449..138060	transposon Tn552 resolvase
arh:AHiyo8_pI67660	CDS	pHiyo8-1:138185..138580	transposase for transposon Tn552
arh:AHiyo8_pI67670	CDS	pHiyo8-1:138661..139677	transposase for transposon Tn552
arh:AHiyo8_pI67680	CDS	pHiyo8-1:139699..139914	atp-Binding protein
arh:AHiyo8_pI67690	CDS	pHiyo8-1:139905..140273	potential ATP-binding protein
arh:AHiyo8_pI67700	CDS	pHiyo8-1:140243..140335	atp-Binding protein
arh:AHiyo8_pI67710	CDS	pHiyo8-1:140362..140589	transposon Tn21 resolvase
arh:AHiyo8_pI67720	CDS	pHiyo8-1:140547..140921	transposon Tn501 resolvase
arh:AHiyo8_pI67730	CDS	pHiyo8-1:complement(141144..141557)	HTH-type transcriptional repressor AllR
arh:AHiyo8_pI67740	CDS	pHiyo8-1:complement(141661..142323)	uncharacterized HTH-type transcriptional regulator YdhC
arh:AHiyo8_pI67750	CDS	pHiyo8-1:complement(142610..143011)	FAD dependent oxidoreductase
arh:AHiyo8_pI67760	CDS	pHiyo8-1:complement(142965..144767)	bacilysin biosynthesis oxidoreductase BacC
arh:AHiyo8_pI67770	CDS	pHiyo8-1:complement(144804..145304)	D-threonine aldolase
arh:AHiyo8_pI67780	CDS	pHiyo8-1:complement(145286..145831)	D-threonine aldolase
arh:AHiyo8_pI67790	CDS	pHiyo8-1:complement(145938..146306)	endoribonuclease L-PSP
arh:AHiyo8_pI67800	CDS	pHiyo8-1:complement(146335..147129)	haloacid dehalogenase, type II
arh:AHiyo8_pI67810	CDS	pHiyo8-1:complement(147317..147619)	FAD dependent oxidoreductase
arh:AHiyo8_pI67820	CDS	pHiyo8-1:complement(147616..148524)	probable oxidoreductase OrdL
arh:AHiyo8_pI67830	CDS	pHiyo8-1:complement(149160..149423)	drug resistance transporter, EmrB/QacA protein
arh:AHiyo8_pI67840	CDS	pHiyo8-1:complement(149477..150352)	methylenomycin A resistance protein
arh:AHiyo8_pI67850	CDS	pHiyo8-1:complement(150592..150762)	hypothetical protein
arh:AHiyo8_pI67860	CDS	pHiyo8-1:complement(150797..151543)	fe(2+)/Mn(2+) transporter pcl1
arh:AHiyo8_pI67870	CDS	pHiyo8-1:complement(151663..152370)	uncharacterized HTH-type transcriptional regulator YdhC
arh:AHiyo8_pI67880	CDS	pHiyo8-1:complement(152370..153137)	glutamine transport ATP-binding protein GlnQ
arh:AHiyo8_pI67890	CDS	pHiyo8-1:complement(153134..154066)	inner membrane amino-acid ABC transporter permease protein YecS
arh:AHiyo8_pI67900	CDS	pHiyo8-1:complement(154077..154568)	prephenate dehydratase
arh:AHiyo8_pI67910	CDS	pHiyo8-1:complement(154580..154999)	L-cystine-binding protein TcyA
arh:AHiyo8_pI67920	CDS	pHiyo8-1:155355..156029	(S)-2-haloacid dehalogenase 4A
arh:AHiyo8_pI67930	CDS	pHiyo8-1:156059..156307	FAD dependent oxidoreductase
arh:AHiyo8_pI67940	CDS	pHiyo8-1:156265..157377	probable oxidoreductase OrdL
arh:AHiyo8_pI67950	CDS	pHiyo8-1:157465..157638	hypothetical protein
arh:AHiyo8_pI67960	CDS	pHiyo8-1:157635..158531	probable tartrate dehydrogenase/decarboxylase
arh:AHiyo8_pI67970	CDS	pHiyo8-1:158528..158716	isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial
arh:AHiyo8_pI67980	CDS	pHiyo8-1:159030..159299	aspartate ammonia-lyase
arh:AHiyo8_pI67990	CDS	pHiyo8-1:159296..160165	aspartate ammonia-lyase
arh:AHiyo8_pI68000	CDS	pHiyo8-1:complement(160453..160743)	hypothetical protein
arh:AHiyo8_pI68010	CDS	pHiyo8-1:complement(160733..160876)	hypothetical protein
arh:AHiyo8_pI68020	CDS	pHiyo8-1:161292..161699	hypothetical protein
arh:AHiyo8_pI68030	CDS	pHiyo8-1:161915..162343	hypothetical protein
arh:AHiyo8_pI68040	CDS	pHiyo8-1:complement(162240..162521)	succinate-semialdehyde dehydrogenase [NADP(+)] GabD
arh:AHiyo8_pI68050	CDS	pHiyo8-1:complement(162882..164162)	uncharacterized aminotransferase BpOF4_10225
arh:AHiyo8_pI68060	CDS	pHiyo8-1:164395..164598	transcriptional regulator, GntR family protein
arh:AHiyo8_pI68070	CDS	pHiyo8-1:164595..165080	transcriptional regulator, GntR family protein
arh:AHiyo8_pI68080	CDS	pHiyo8-1:165865..166398	oligopeptide transport ATP-binding protein OppD
arh:AHiyo8_pI68090	CDS	pHiyo8-1:166398..167534	uncharacterized ABC transporter ATP-binding protein YejF
arh:AHiyo8_pI68100	CDS	pHiyo8-1:167738..168637	probable D,D-dipeptide-binding periplasmic protein DdpA
arh:AHiyo8_pI68110	CDS	pHiyo8-1:168718..169086	extracellular solute-binding protein, family 5
arh:AHiyo8_pI68120	CDS	pHiyo8-1:169153..170061	glutathione transport system permease protein GsiC
arh:AHiyo8_pI68130	CDS	pHiyo8-1:170162..170803	putative oligopeptide transport system permease protein oppC2
arh:AHiyo8_pI68140	CDS	pHiyo8-1:171216..171437	hypothetical protein
arh:AHiyo8_pI68150	CDS	pHiyo8-1:complement(172430..172732)	divalent metal cation transporter MntH
arh:AHiyo8_pI68160	CDS	pHiyo8-1:complement(172874..173611)	divalent metal cation transporter MntH
arh:AHiyo8_pI68170	CDS	pHiyo8-1:complement(174123..174908)	uncharacterized HTH-type transcriptional regulator YdhC
arh:AHiyo8_pI68180	CDS	pHiyo8-1:175456..175581	hypothetical protein
arh:AHiyo8_pI68190	CDS	pHiyo8-1:175578..176522	apoptosis-inducing factor 3
arh:AHiyo8_pI68200	CDS	pHiyo8-1:complement(176511..177692)	xylose repressor
arh:AHiyo8_pI68210	CDS	pHiyo8-1:complement(177769..178296)	lysine-arginine-ornithine-binding periplasmic protein
arh:AHiyo8_pI68220	CDS	pHiyo8-1:complement(178272..178781)	conserved hypothetical protein
arh:AHiyo8_pI68230	CDS	pHiyo8-1:178952..179626	(S)-2-haloacid dehalogenase H-109
arh:AHiyo8_pI68240	CDS	pHiyo8-1:179726..180565	hydroxylysine kinase
arh:AHiyo8_pI68250	CDS	pHiyo8-1:180562..180735	hypothetical protein
arh:AHiyo8_pI68260	CDS	pHiyo8-1:180893..182248	ethanolamine-phosphate phospho-lyase
arh:AHiyo8_pI68270	CDS	pHiyo8-1:182328..182822	(S)-2-haloacid dehalogenase 2
arh:AHiyo8_pI68280	CDS	pHiyo8-1:182819..183013	haloacid dehalogenase, type II
arh:AHiyo8_pI68290	CDS	pHiyo8-1:183225..183383	hypothetical protein
arh:AHiyo8_pI68300	CDS	pHiyo8-1:complement(183778..184053)	hypothetical protein
arh:AHiyo8_pI68310	CDS	pHiyo8-1:complement(184046..184375)	hypothetical protein
arh:AHiyo8_pI68320	CDS	pHiyo8-1:complement(184735..184908)	hypothetical protein
arh:AHiyo8_pI68330	CDS	pHiyo8-1:complement(185133..185402)	YHS domain protein
arh:AHiyo8_pI68340	CDS	pHiyo8-1:complement(185443..187758)	cation-transporting P-type ATPase A
arh:AHiyo8_pI68350	CDS	pHiyo8-1:complement(187785..188147)	conserved hypothetical protein
arh:AHiyo8_pI68360	CDS	pHiyo8-1:complement(188387..188728)	hypothetical protein
arh:AHiyo8_pI68370	CDS	pHiyo8-1:complement(188728..188943)	heavy metal transport/detoxification protein
arh:AHiyo8_pI68380	CDS	pHiyo8-1:complement(189050..189511)	hypothetical protein
arh:AHiyo8_pI68390	CDS	pHiyo8-1:189520..190305	nitric oxide reductase FlRd-NAD(+) reductase
arh:AHiyo8_pI68400	CDS	pHiyo8-1:190455..191057	uncharacterized MFS-type transporter YfiS
arh:AHiyo8_pI68410	CDS	pHiyo8-1:191030..191572	hypothetical protein
arh:AHiyo8_pI68420	CDS	pHiyo8-1:complement(191741..192166)	copper-sensing transcriptional repressor CsoR
arh:AHiyo8_pI68430	CDS	pHiyo8-1:complement(192807..193484)	conserved hypothetical protein
arh:AHiyo8_pI68440	CDS	pHiyo8-1:complement(193457..193720)	hypothetical protein
arh:AHiyo8_pI68450	CDS	pHiyo8-1:complement(193675..194262)	amylo-Alpha-1,6-Glucosidase
arh:AHiyo8_pI68460	CDS	pHiyo8-1:194669..195562	transposase IS116/IS110/IS902 family protein
arh:AHiyo8_pI68470	CDS	pHiyo8-1:195534..195908	transposase IS116/IS110/IS902 family protein
arh:AHiyo8_pI68480	CDS	pHiyo8-1:complement(196006..196224)	hypothetical protein
arh:AHiyo8_pI68490	CDS	pHiyo8-1:196467..196823	conserved hypothetical protein
arh:AHiyo8_pI68500	CDS	pHiyo8-1:complement(196889..197581)	uncharacterized HTH-type transcriptional regulator YdhC
arh:AHiyo8_pI68510	CDS	pHiyo8-1:complement(197621..198505)	glutarate-semialdehyde dehydrogenase DavD
arh:AHiyo8_pI68520	CDS	pHiyo8-1:199066..199293	hypothetical protein
arh:AHiyo8_pI68530	CDS	pHiyo8-1:199411..200052	hypothetical protein
arh:AHiyo8_pI68540	CDS	pHiyo8-1:200098..200691	hypothetical protein
arh:AHiyo8_pI68550	CDS	pHiyo8-1:200830..200949	hypothetical protein
arh:AHiyo8_pI68560	CDS	pHiyo8-1:200903..201160	hypothetical protein
arh:AHiyo8_pI68570	CDS	pHiyo8-1:201157..202500	periplasmic murein peptide-binding protein
arh:AHiyo8_pI68580	CDS	pHiyo8-1:complement(202584..203021)	uncharacterized protein YagA
arh:AHiyo8_pI68590	CDS	pHiyo8-1:complement(203325..203576)	hypothetical protein
arh:AHiyo8_pI68600	CDS	pHiyo8-1:complement(203705..203878)	hypothetical protein
arh:AHiyo8_pI68610	CDS	pHiyo8-1:complement(203854..204501)	glycerate kinase
arh:AHiyo8_pI68620	CDS	pHiyo8-1:complement(204516..204830)	glycerate 2-kinase
arh:AHiyo8_pI68630	CDS	pHiyo8-1:complement(204827..205306)	protein PhnO
arh:AHiyo8_pI68640	CDS	pHiyo8-1:complement(205346..205588)	hypothetical protein
arh:AHiyo8_pI68650	CDS	pHiyo8-1:205603..205755	hypothetical protein
arh:AHiyo8_pI68660	CDS	pHiyo8-1:205748..206578	uncharacterized MFS-type transporter YfiS
arh:AHiyo8_pI68670	CDS	pHiyo8-1:206575..207135	major facilitator superfamily protein
arh:AHiyo8_pI68680	CDS	pHiyo8-1:207154..207300	hypothetical protein
arh:AHiyo8_pI68690	CDS	pHiyo8-1:complement(207409..207843)	oligopeptide transport ATP-binding protein OppF
arh:AHiyo8_pI68700	CDS	pHiyo8-1:complement(207879..208229)	putative peptide import ATP-binding protein BAB2_1053
