chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_00220	CDS	complement(36715..37395)	hypothetical protein
chg:AXF12_00225	CDS	complement(37399..37944)	PyrR protein
chg:AXF12_00230	CDS	complement(37966..40488)	polymerase
chg:AXF12_00235	CDS	complement(40675..40989)	hypothetical protein
chg:AXF12_00240	CDS	complement(41101..42180)	DNA recombination protein RecF
chg:AXF12_00245	CDS	complement(42184..42987)	hypothetical protein
chg:AXF12_00250	CDS	complement(43031..43717)	hypothetical protein
chg:AXF12_00255	CDS	complement(43844..44188)	hypothetical protein
chg:AXF12_00260	CDS	complement(44359..45651)	glucose-1-phosphatase
chg:AXF12_00265	CDS	complement(45734..46942)	ATPase
chg:AXF12_00270	CDS	complement(46964..47752)	acid phosphatase
chg:AXF12_00275	CDS	48572..49750	tryptophan synthase subunit beta
chg:AXF12_00280	CDS	complement(49869..52193)	penicillin-binding protein 1C
chg:AXF12_00285	CDS	52650..53975	lytic transglycosylase
chg:AXF12_00290	CDS	54129..55004	ubiquinone biosynthesis protein UbiA
chg:AXF12_00295	CDS	complement(55079..57571)	hypothetical protein
chg:AXF12_00300	CDS	complement(57647..58450)	ATP-dependent exonuclease
chg:AXF12_00305	CDS	58737..59123	hypothetical protein
chg:AXF12_00310	CDS	complement(59198..59605)	SlyB protein
chg:AXF12_00315	CDS	complement(59691..59939)	hypothetical protein
chg:AXF12_00320	CDS	complement(60391..60846)	hypothetical protein
chg:AXF12_00325	CDS	complement(60834..61754)	hypothetical protein
chg:AXF12_00330	gene	complement(61823..62039)	pseudogene
chg:AXF12_00335	CDS	62346..62783	hypothetical protein
chg:AXF12_00340	CDS	62913..63971	hypothetical protein
chg:AXF12_00345	CDS	64174..64593	hypothetical protein
chg:AXF12_00350	CDS	64800..65657	acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
chg:AXF12_00355	CDS	65739..66350	thiamine biosynthesis protein ThiJ
chg:AXF12_00360	CDS	66543..67544	diphosphomevalonate decarboxylase
chg:AXF12_00365	CDS	67634..67840	hypothetical protein
chg:AXF12_00370	CDS	67840..68046	hypothetical protein
chg:AXF12_00375	CDS	68089..68412	hypothetical protein
chg:AXF12_00380	CDS	68431..69324	hypothetical protein
chg:AXF12_00385	CDS	69499..69723	hypothetical protein
chg:AXF12_00390	CDS	69791..70348	hypothetical protein
chg:AXF12_00395	CDS	70350..70574	hypothetical protein
chg:AXF12_00400	CDS	70593..71531	mevalonate kinase
chg:AXF12_00405	CDS	71586..73472	amidophosphoribosyltransferase
chg:AXF12_00410	CDS	complement(73932..74867)	hypothetical protein
chg:AXF12_00415	CDS	complement(74920..75621)	hypothetical protein
chg:AXF12_00420	CDS	75837..76595	hypothetical protein
chg:AXF12_00425	CDS	76658..77824	DNA methylase
chg:AXF12_00430	CDS	77827..78804	hypothetical protein
chg:AXF12_00435	CDS	78815..79492	hypothetical protein
chg:AXF12_00440	tRNA	79560..79633	tRNA-His
chg:AXF12_00445	CDS	complement(79678..81543)	hypothetical protein
chg:AXF12_00450	CDS	complement(81600..84314)	TonB-dependent receptor
chg:AXF12_00455	CDS	complement(84474..86132)	hypothetical protein
chg:AXF12_00460	CDS	complement(86165..86644)	recombinase RecX
chg:AXF12_00465	CDS	complement(86753..87133)	hypothetical protein
chg:AXF12_00470	tRNA	complement(87185..87255)	tRNA-Cys
chg:AXF12_00475	CDS	complement(87295..87657)	dihydroneopterin aldolase
chg:AXF12_00480	CDS	complement(87666..88619)	hypothetical protein
chg:AXF12_00485	CDS	complement(89047..90330)	sodium:proton antiporter
chg:AXF12_00490	tRNA	complement(90383..90467)	tRNA-Leu
chg:AXF12_00495	CDS	complement(90678..91322)	peptidoglycan-binding protein LysM
chg:AXF12_00500	CDS	complement(91694..92719)	hypothetical protein
chg:AXF12_00505	CDS	complement(92962..93816)	hypothetical protein
chg:AXF12_00510	CDS	complement(93916..96507)	DNA mismatch repair protein MutS
chg:AXF12_00515	CDS	96788..97204	hypothetical protein
chg:AXF12_00520	CDS	complement(97289..99034)	aspartate--tRNA ligase
chg:AXF12_00525	CDS	complement(99870..100289)	hypothetical protein
chg:AXF12_00530	gene	100386..101180	pseudogene
chg:AXF12_00535	CDS	complement(101248..101688)	hypothetical protein
chg:AXF12_00540	CDS	complement(101727..102233)	hypothetical protein
chg:AXF12_00545	CDS	102585..103187	NAD(P)H-dependent oxidoreductase
chg:AXF12_00550	CDS	103289..104335	MBL fold metallo-hydrolase
chg:AXF12_00555	CDS	104483..104896	hypothetical protein
chg:AXF12_00560	CDS	105318..106574	peptidase M23
chg:AXF12_00565	CDS	106593..106952	hypothetical protein
chg:AXF12_00570	CDS	107418..109034	pgi; glucose-6-phosphate isomerase
chg:AXF12_00575	CDS	109124..109486	four helix bundle protein
chg:AXF12_00580	CDS	109575..110378	methionine aminopeptidase
chg:AXF12_00585	CDS	110571..114872	protoporphyrin IX magnesium chelatase
chg:AXF12_00590	CDS	complement(115045..116436)	aspA; class II fumarate hydratase
chg:AXF12_00595	CDS	complement(116582..118048)	RNA polymerase sigma-54 factor
chg:AXF12_00600	CDS	complement(118096..119112)	glycerophosphotransferase
chg:AXF12_00605	CDS	complement(119440..120630)	pgk; phosphoglycerate kinase
chg:AXF12_00610	gene	complement(120887..121250)	pseudogene
chg:AXF12_00615	CDS	complement(121250..121486)	hypothetical protein
chg:AXF12_00620	CDS	complement(121604..123880)	phosphate:sodium symporter
chg:AXF12_00625	CDS	124198..125136	protease
chg:AXF12_00630	CDS	complement(125198..126679)	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
chg:AXF12_00635	CDS	complement(126710..127042)	gliding motility protein GldC
chg:AXF12_00640	CDS	complement(127042..128010)	gliding motility lipoprotein GldB
chg:AXF12_00645	gene	complement(128039..129621)	pseudogene
chg:AXF12_00650	CDS	complement(129764..130543)	SAM-dependent methyltransferase
chg:AXF12_00655	CDS	131021..133816	DNA polymerase I
chg:AXF12_00660	CDS	133852..135216	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chg:AXF12_00665	CDS	complement(135280..137442)	peptidase S9
chg:AXF12_00670	CDS	137556..137999	hypothetical protein
chg:AXF12_00675	CDS	138418..140805	hypothetical protein
chg:AXF12_00680	CDS	140884..141714	hypothetical protein
chg:AXF12_00685	CDS	complement(141727..142701)	nitrogen fixation protein NifR
chg:AXF12_00690	CDS	complement(142695..143453)	hypothetical protein
chg:AXF12_00695	CDS	complement(143646..144848)	GTPase HflX
chg:AXF12_00700	CDS	complement(144930..145697)	phospholipase
chg:AXF12_00705	CDS	complement(145722..147722)	ferrous iron transporter B
chg:AXF12_00710	CDS	complement(147754..148011)	iron transporter
chg:AXF12_00715	CDS	complement(148134..148850)	ZIP family metal transporter
chg:AXF12_00720	CDS	complement(148927..149295)	four helix bundle protein
chg:AXF12_00725	CDS	complement(149309..150430)	GTP cyclohydrolase
chg:AXF12_00730	CDS	complement(150417..151364)	phenol degradation protein meta
chg:AXF12_00735	CDS	complement(151474..152790)	hydroxymethylglutaryl-CoA reductase
chg:AXF12_00740	CDS	complement(152812..153927)	glycosyl transferase family 1
chg:AXF12_00745	CDS	154679..156325	MFS transporter
chg:AXF12_00750	CDS	complement(156388..156927)	hydrolase
chg:AXF12_00755	CDS	157305..158354	23S rRNA (adenine(2503)-C2)-methyltransferase
chg:AXF12_00760	CDS	158461..158949	hypothetical protein
chg:AXF12_00765	CDS	159049..161889	leucine--tRNA ligase
chg:AXF12_00770	CDS	162563..163288	hypothetical protein
chg:AXF12_00775	CDS	164246..164914	cytochrome C
chg:AXF12_00780	CDS	164936..167986	quinol:cytochrome C oxidoreductase
chg:AXF12_00785	CDS	167989..169392	hydrogenase
chg:AXF12_00790	CDS	169382..169918	hypothetical protein
chg:AXF12_00795	CDS	169911..170483	cytochrome C
chg:AXF12_00800	CDS	170509..171663	hypothetical protein
chg:AXF12_00805	CDS	172001..172237	acyl carrier protein
chg:AXF12_00810	CDS	172340..173590	beta-ketoacyl-[acyl-carrier-protein] synthase II
chg:AXF12_00815	CDS	173597..174352	ribonuclease III
chg:AXF12_00820	CDS	174349..174843	phosphodiesterase
chg:AXF12_00825	CDS	complement(174899..176227)	UDP-glucose 6-dehydrogenase
chg:AXF12_00830	CDS	176584..177135	hypothetical protein
chg:AXF12_00835	CDS	complement(177214..178212)	GTPase ObgE
chg:AXF12_00840	CDS	complement(178212..178790)	adenylate kinase
chg:AXF12_00845	CDS	complement(179383..180063)	hypothetical protein
chg:AXF12_00850	CDS	complement(180412..181047)	alkyl hydroperoxide reductase
chg:AXF12_00855	CDS	complement(181297..181845)	dTDP-4-dehydrorhamnose 3,5-epimerase
chg:AXF12_00860	CDS	complement(181846..183090)	esterase
chg:AXF12_00865	CDS	complement(183177..184001)	thymidylate synthase
chg:AXF12_00870	CDS	complement(184480..186810)	maltose phosphorylase
chg:AXF12_00875	CDS	complement(186946..192423)	hypothetical protein
chg:AXF12_00880	CDS	complement(192554..193372)	hypothetical protein
chg:AXF12_00885	CDS	complement(193586..194017)	hypothetical protein
chg:AXF12_00890	CDS	194356..195990	alpha-1,3-galactosidase B
chg:AXF12_00895	CDS	complement(196070..196396)	pyrophosphatase
chg:AXF12_00900	CDS	complement(196426..197061)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
chg:AXF12_00905	CDS	complement(197076..197741)	16S rRNA methyltransferase
chg:AXF12_00910	CDS	complement(197741..198646)	hypothetical protein
chg:AXF12_00915	CDS	complement(198779..200149)	transporter
chg:AXF12_00920	CDS	complement(200196..200699)	mechanosensitive ion channel protein MscS
chg:AXF12_00925	CDS	complement(201030..202244)	transcriptional regulator
chg:AXF12_00930	CDS	202523..203542	phenylalanine--tRNA ligase subunit alpha
chg:AXF12_00935	CDS	203667..203918	hypothetical protein
chg:AXF12_00940	CDS	204244..205581	RIP metalloprotease RseP
chg:AXF12_00945	CDS	205770..208262	TonB-dependent receptor
chg:AXF12_00950	gene	complement(208276..209438)	pseudogene
chg:AXF12_00955	CDS	complement(209703..209978)	hypothetical protein
chg:AXF12_00960	CDS	209996..210709	hypothetical protein
chg:AXF12_00965	CDS	210837..212633	excinuclease ABC subunit C
chg:AXF12_00970	CDS	complement(212720..213919)	ABC transporter permease
chg:AXF12_00975	gene	complement(213906..215069)	pseudogene
chg:AXF12_00980	CDS	complement(215107..215904)	DNA alkylation repair protein
chg:AXF12_00985	CDS	complement(215976..216389)	hypothetical protein
chg:AXF12_00990	CDS	complement(216395..217372)	hemolysin secretion protein D
chg:AXF12_00995	CDS	complement(217604..218812)	hypothetical protein
chg:AXF12_01000	CDS	complement(218809..219012)	hypothetical protein
chg:AXF12_01005	CDS	complement(218991..219338)	hypothetical protein
chg:AXF12_01010	CDS	complement(219468..219791)	hypothetical protein
chg:AXF12_01015	CDS	complement(219966..221390)	transporter
chg:AXF12_01020	CDS	complement(222197..222610)	hypothetical protein
chg:AXF12_01025	CDS	complement(222685..222957)	hypothetical protein
chg:AXF12_01030	CDS	complement(222954..223517)	DNA-binding protein
chg:AXF12_01035	CDS	complement(223517..223900)	molecular chaperone DnaK
chg:AXF12_01040	CDS	complement(223950..227360)	isoleucine--tRNA ligase
chg:AXF12_01045	CDS	complement(227715..228191)	ribonucleoside-triphosphate reductase activating protein
chg:AXF12_01050	CDS	complement(228163..229962)	ribonucleoside-triphosphate reductase
chg:AXF12_01055	CDS	230465..230899	deoxyuridine 5'-triphosphate nucleotidohydrolase
chg:AXF12_01060	CDS	231014..231784	hypothetical protein
chg:AXF12_01065	CDS	231797..233059	peptidase M23
chg:AXF12_01070	CDS	complement(233141..233764)	ribonuclease HII
chg:AXF12_01075	CDS	complement(233835..234119)	ATP synthase subunit delta
chg:AXF12_01080	CDS	complement(234131..235648)	ATP synthase subunit beta
chg:AXF12_01085	CDS	complement(235879..237837)	TonB-dependent receptor
chg:AXF12_01090	CDS	complement(237919..238605)	hypothetical protein
chg:AXF12_01095	CDS	complement(238608..239762)	hypothetical protein
chg:AXF12_01100	CDS	complement(239852..240493)	hypothetical protein
chg:AXF12_01105	CDS	complement(240751..241731)	polyprenyl synthetase
chg:AXF12_01110	CDS	242020..242226	hypothetical protein
chg:AXF12_01115	CDS	242233..242649	rRNA maturation factor
chg:AXF12_01120	CDS	complement(242727..244160)	polysaccharide biosynthesis protein
chg:AXF12_01125	CDS	244820..246421	lactate permease
chg:AXF12_01130	CDS	246519..246941	Fe-S metabolism protein SufE
chg:AXF12_01135	CDS	247044..247364	FeS assembly SUF system protein
chg:AXF12_01140	CDS	247388..248284	hypothetical protein
chg:AXF12_01145	CDS	complement(248424..249728)	hypothetical protein
chg:AXF12_01150	CDS	complement(249741..250595)	hypothetical protein
chg:AXF12_01155	CDS	complement(250617..252098)	carbohydrate-binding protein
chg:AXF12_01160	CDS	complement(252114..255458)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_01165	CDS	complement(255916..257067)	hypothetical protein
chg:AXF12_01170	CDS	complement(257606..258334)	hypothetical protein
chg:AXF12_01175	CDS	complement(258355..259179)	hypothetical protein
chg:AXF12_01180	CDS	259406..260545	secretion protein HlyD
chg:AXF12_01185	CDS	260549..262702	peptidase C39
chg:AXF12_01190	CDS	262678..263055	hypothetical protein
chg:AXF12_01195	CDS	263146..263367	hypothetical protein
chg:AXF12_01200	CDS	263445..264131	hypothetical protein
chg:AXF12_01205	CDS	264139..264825	hypothetical protein
chg:AXF12_01210	CDS	complement(264839..265636)	transposase
chg:AXF12_01215	CDS	265832..266533	hypothetical protein
chg:AXF12_01220	CDS	266610..266987	glyoxalase
chg:AXF12_01225	CDS	267222..268025	hypothetical protein
chg:AXF12_01230	CDS	268156..268971	lysophospholipase
chg:AXF12_01235	CDS	269145..269519	hypothetical protein
chg:AXF12_01240	CDS	269520..269972	hypothetical protein
chg:AXF12_01245	CDS	269947..270396	MarR family transcriptional regulator
chg:AXF12_01250	CDS	270560..270925	hypothetical protein
chg:AXF12_01255	CDS	complement(271323..271469)	transposase
chg:AXF12_01260	CDS	271772..272494	nitroreductase
chg:AXF12_01265	CDS	272546..273370	lysophospholipase
chg:AXF12_01270	gene	273450..273710	pseudogene
chg:AXF12_01275	CDS	273715..274443	hypothetical protein
chg:AXF12_01280	CDS	complement(274713..275573)	CAAX protease
chg:AXF12_01285	CDS	275703..276689	hypothetical protein
chg:AXF12_01290	CDS	276901..277317	hypothetical protein
chg:AXF12_01295	CDS	277450..278460	oxidoreductase
chg:AXF12_01300	CDS	278514..278876	hypothetical protein
chg:AXF12_01305	CDS	complement(279144..279920)	hypothetical protein
chg:AXF12_01310	CDS	complement(279992..280909)	hypothetical protein
chg:AXF12_01315	CDS	complement(280935..281426)	hypothetical protein
chg:AXF12_01320	CDS	complement(281427..282026)	LemA family protein
chg:AXF12_01325	CDS	complement(282119..282850)	alanine racemase
chg:AXF12_01330	CDS	complement(282771..283442)	hypothetical protein
chg:AXF12_01335	CDS	complement(283449..283721)	hypothetical protein
chg:AXF12_01340	CDS	complement(283856..284407)	hypothetical protein
chg:AXF12_01345	CDS	complement(284394..285179)	hypothetical protein
chg:AXF12_01350	CDS	complement(285476..286525)	FAD-dependent oxidoreductase
chg:AXF12_01355	CDS	286957..290013	hypothetical protein
chg:AXF12_01360	CDS	290026..291528	hypothetical protein
chg:AXF12_01365	CDS	291787..294186	hypothetical protein
chg:AXF12_01370	CDS	294207..294845	hypothetical protein
chg:AXF12_01375	CDS	294935..296482	hypothetical protein
chg:AXF12_01380	CDS	complement(296560..297369)	hypothetical protein
chg:AXF12_01385	CDS	complement(297474..298298)	hypothetical protein
chg:AXF12_01390	CDS	complement(298348..299799)	hypothetical protein
chg:AXF12_01395	CDS	299989..300504	hypothetical protein
chg:AXF12_01400	CDS	300844..301893	FAD-dependent oxidoreductase
chg:AXF12_01405	CDS	302055..302816	acyl-ACP thioesterase
chg:AXF12_01410	CDS	302840..305353	hypothetical protein
chg:AXF12_01415	CDS	complement(305426..306613)	hypothetical protein
chg:AXF12_01420	CDS	complement(306618..307010)	ribosome-binding factor A
chg:AXF12_01425	CDS	complement(307162..307431)	hypothetical protein
chg:AXF12_01430	CDS	complement(307433..308062)	ABC transporter ATP-binding protein
chg:AXF12_01435	CDS	complement(308049..308939)	hypothetical protein
chg:AXF12_01440	CDS	complement(309099..309785)	hypothetical protein
chg:AXF12_01445	CDS	complement(309793..310458)	hypothetical protein
chg:AXF12_01450	CDS	311139..312089	hypothetical protein
chg:AXF12_01455	CDS	312141..312458	hypothetical protein
chg:AXF12_01460	gene	complement(313067..313778)	pseudogene
chg:AXF12_01465	CDS	complement(313981..314862)	hypothetical protein
chg:AXF12_01470	CDS	complement(314904..315179)	hypothetical protein
chg:AXF12_01475	CDS	complement(315180..315962)	hypothetical protein
chg:AXF12_01480	CDS	complement(316360..317364)	hypothetical protein
chg:AXF12_01485	CDS	317718..320039	energy transducer TonB
chg:AXF12_01490	gene	320285..321448	pseudogene
chg:AXF12_01495	gene	complement(321685..322569)	pseudogene
chg:AXF12_01500	gene	322783..325131	pseudogene
chg:AXF12_01505	CDS	325401..326624	hypothetical protein
chg:AXF12_01510	CDS	complement(326721..327203)	hypothetical protein
chg:AXF12_01515	CDS	327323..328006	hypothetical protein
chg:AXF12_01520	CDS	complement(328061..329110)	amidohydrolase
chg:AXF12_01525	CDS	329893..330492	NAD(P)H-dependent oxidoreductase
chg:AXF12_01530	CDS	330812..331252	hypothetical protein
chg:AXF12_01535	CDS	331352..332083	3-methyladenine DNA glycosylase
chg:AXF12_01540	CDS	complement(332244..332981)	ubiquinone biosynthesis protein UbiE
chg:AXF12_01545	CDS	333210..333512	hypothetical protein
chg:AXF12_01550	CDS	333531..334028	hypothetical protein
chg:AXF12_01555	CDS	334081..334638	hypothetical protein
chg:AXF12_01560	CDS	334748..335578	methyltransferase
chg:AXF12_01565	CDS	335723..336238	hypothetical protein
chg:AXF12_01570	CDS	336343..336849	hypothetical protein
chg:AXF12_01575	CDS	complement(337033..337725)	lysine transporter LysE
chg:AXF12_01580	gene	338539..339336	pseudogene
chg:AXF12_01585	CDS	339513..339749	hypothetical protein
chg:AXF12_01590	CDS	339737..340066	hypothetical protein
chg:AXF12_01595	CDS	complement(340282..340581)	addiction module toxin RelE
chg:AXF12_01600	CDS	complement(340585..340815)	hypothetical protein
chg:AXF12_01605	CDS	complement(341008..341475)	hypothetical protein
chg:AXF12_01610	CDS	complement(341489..342073)	NADPH quinone reductase MdaB
chg:AXF12_01615	CDS	complement(342203..344395)	ribonuclease R
chg:AXF12_01620	CDS	complement(344653..344841)	hypothetical protein
chg:AXF12_01625	CDS	complement(344838..345020)	hypothetical protein
chg:AXF12_01630	CDS	345277..346122	esterase
chg:AXF12_01635	CDS	346267..347004	esterase
chg:AXF12_01640	CDS	347128..348744	hypothetical protein
chg:AXF12_01645	CDS	348800..349039	hypothetical protein
chg:AXF12_01650	CDS	complement(349351..349713)	hypothetical protein
chg:AXF12_01655	CDS	complement(349872..350288)	hypothetical protein
chg:AXF12_01660	CDS	complement(350290..350658)	hypothetical protein
chg:AXF12_01665	CDS	complement(351509..352306)	transposase
chg:AXF12_01670	CDS	352409..353524	glycosyl hydrolase family 5
chg:AXF12_01675	CDS	353544..354314	alpha/beta hydrolase
chg:AXF12_01680	CDS	354299..354646	hypothetical protein
chg:AXF12_01685	CDS	complement(354702..356123)	ATP-dependent endonuclease
chg:AXF12_01690	gene	356250..356901	pseudogene
chg:AXF12_01695	CDS	356876..357718	hypothetical protein
chg:AXF12_01700	CDS	357728..358435	beta-carotene 15,15'-monooxygenase
chg:AXF12_01705	CDS	358517..359230	hypothetical protein
chg:AXF12_01710	CDS	complement(359407..360252)	CAAX protease
chg:AXF12_01715	CDS	360559..361875	hypothetical protein
chg:AXF12_01720	CDS	362254..364446	TonB-dependent receptor
chg:AXF12_01725	CDS	364724..365899	carbamoyl phosphate synthase large subunit
chg:AXF12_01730	CDS	366170..367435	hypothetical protein
chg:AXF12_01735	CDS	367695..368594	secretion protein
chg:AXF12_01740	CDS	368687..369217	hypothetical protein
chg:AXF12_01745	CDS	369253..369672	conjugal transfer protein
chg:AXF12_01750	CDS	369875..370813	ATPase
chg:AXF12_01755	gene	371040..371768	pseudogene
chg:AXF12_01760	CDS	371785..372909	multidrug ABC transporter permease
chg:AXF12_01765	CDS	372906..374006	ABC transporter permease
chg:AXF12_01770	CDS	complement(374077..375243)	carbamoyl phosphate synthase large subunit
chg:AXF12_01775	CDS	375477..376064	hypothetical protein
chg:AXF12_01780	CDS	376316..376786	hypothetical protein
chg:AXF12_01785	CDS	376893..378764	tRNA uridine 5-carboxymethylaminomethyl modification protein
chg:AXF12_01790	CDS	379320..379505	hypothetical protein
chg:AXF12_01795	CDS	379516..379716	hypothetical protein
chg:AXF12_01800	CDS	380340..380702	hypothetical protein
chg:AXF12_01805	CDS	381050..381616	hypothetical protein
chg:AXF12_01810	CDS	complement(381651..382448)	transposase
chg:AXF12_01815	CDS	382603..384309	glutamine--tRNA ligase
chg:AXF12_01820	CDS	384312..384698	hypothetical protein
chg:AXF12_01825	CDS	384722..385123	hypothetical protein
chg:AXF12_01830	CDS	385104..385550	hypothetical protein
chg:AXF12_01835	CDS	385843..387273	hypothetical protein
chg:AXF12_01840	CDS	387429..387845	hypothetical protein
chg:AXF12_01845	CDS	388092..390494	TonB-dependent receptor
chg:AXF12_01850	CDS	complement(390578..390772)	30S ribosomal protein S21
chg:AXF12_01855	CDS	complement(390916..392088)	DNA recombination/repair protein RecA
chg:AXF12_01860	CDS	complement(392219..392515)	addiction module toxin YoeB
chg:AXF12_01865	CDS	complement(392524..392769)	hypothetical protein
chg:AXF12_01870	CDS	complement(392922..394733)	hypothetical protein
chg:AXF12_01875	gene	395133..396385	pseudogene
chg:AXF12_01880	CDS	396396..397664	UDP-N-acetyl-D-galactosamine dehydrogenase
chg:AXF12_01885	CDS	397739..398209	hypothetical protein
chg:AXF12_01890	CDS	398203..399654	pyruvate kinase
chg:AXF12_01895	CDS	complement(399794..402064)	malic enzyme
chg:AXF12_01900	CDS	402513..403115	hypothetical protein
chg:AXF12_01905	CDS	403337..404668	hypothetical protein
chg:AXF12_01910	CDS	404774..406078	branched-chain amino acid ABC transporter substrate-binding protein
chg:AXF12_01915	CDS	complement(406083..406313)	uroporphyrinogen decarboxylase
chg:AXF12_01920	CDS	complement(406493..407062)	LPS export ABC transporter periplasmic protein LptC
chg:AXF12_01925	CDS	complement(407068..408408)	hypothetical protein
chg:AXF12_01930	CDS	complement(408423..409697)	hypothetical protein
chg:AXF12_01935	CDS	complement(409717..410469)	type III pantothenate kinase
chg:AXF12_01940	CDS	complement(410854..411123)	hypothetical protein
chg:AXF12_01945	CDS	complement(411217..412962)	TonB-dependent receptor
chg:AXF12_01950	CDS	complement(413006..413365)	ethyl tert-butyl ether degradation protein EthD
chg:AXF12_01955	CDS	complement(413752..416787)	hypothetical protein
chg:AXF12_01960	tRNA	complement(416891..416964)	tRNA-Met
chg:AXF12_01965	CDS	complement(417167..418192)	UDP-glucose 4-epimerase
chg:AXF12_01970	CDS	complement(418297..420615)	hypothetical protein
chg:AXF12_01975	CDS	420774..421610	mechanosensitive ion channel protein
chg:AXF12_01980	CDS	complement(421809..422222)	hypothetical protein
chg:AXF12_01985	CDS	complement(422404..423396)	endonuclease
chg:AXF12_01990	CDS	complement(423545..424111)	phosphoribosylglycinamide formyltransferase
chg:AXF12_01995	CDS	complement(424108..424515)	ribonuclease P protein component
chg:AXF12_02000	CDS	424731..425156	hypothetical protein
chg:AXF12_02005	tRNA	complement(425192..425265)	tRNA-Gln
chg:AXF12_02010	tRNA	complement(425315..425388)	tRNA-Gln
chg:AXF12_02015	CDS	425594..426097	thioredoxin
chg:AXF12_02020	CDS	426254..430495	alpha-glucan phosphorylase
chg:AXF12_02025	CDS	430685..432046	cell envelope biogenesis protein OmpA
chg:AXF12_02030	CDS	432210..432662	6-pyruvoyl tetrahydropterin synthase
chg:AXF12_02035	CDS	432690..433151	hypothetical protein
chg:AXF12_02040	CDS	433148..433909	UDP-2,3-diacylglucosamine hydrolase
chg:AXF12_02045	CDS	433925..434581	hypothetical protein
chg:AXF12_02050	CDS	434578..435084	SCP-like extracellular protein
chg:AXF12_02055	CDS	435084..435659	hydrolase TatD
chg:AXF12_02060	CDS	complement(435744..436028)	hypothetical protein
chg:AXF12_02065	CDS	436238..438325	alpha-glucosidase
chg:AXF12_02070	gene	438675..439096	pseudogene
chg:AXF12_02075	CDS	439325..441436	alpha-glucosidase
chg:AXF12_02080	CDS	441535..444480	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_02085	CDS	444485..446044	hypothetical protein
chg:AXF12_02090	CDS	446058..447110	hypothetical protein
chg:AXF12_02095	CDS	447178..448614	alpha-amylase
chg:AXF12_02100	CDS	complement(448679..449032)	hypothetical protein
