ctrn:L3404_pLN_1	gene	pL3404:join(165..227,227..997)	pseudogene
ctrn:L3404_00167	CDS	186984..188513	hypothetical protein
ctrn:L3404_00168	CDS	189218..189673	hypothetical protein
ctrn:L3404_00169	CDS	189729..190013	Trp operon repressor
ctrn:L3404_00170	CDS	190372..191550	bifunctional phosphoribosylanthranilate isomerase/tryptophan synthase subunit beta
ctrn:L3404_00171	CDS	191543..192304	tryptophan synthase subunit alpha
ctrn:L3404_00172	CDS	complement(192495..193016)	hypothetical protein
ctrn:L3404_00173	CDS	complement(193025..193336)	hypothetical protein
ctrn:L3404_00174	CDS	193623..195212	putative ABC transporter periplasmic-binding protein
ctrn:L3404_00175	CDS	complement(195239..195646)	putative disulfide oxidoreductase
ctrn:L3404_00176	CDS	complement(195643..196359)	Protein-disulfide isomerase
ctrn:L3404_00177	CDS	196505..197719	hypothetical protein
ctrn:L3404_00178	CDS	complement(197721..198380)	hypothetical protein
ctrn:L3404_00179	CDS	complement(198377..199069)	taurine transporter ATP-binding subunit
ctrn:L3404_00180	tRNA	complement(199106..199181)	tRNA-Ile
ctrn:L3404_00181	tRNA	complement(199186..199258)	tRNA-Ala
ctrn:L3404_00182	CDS	complement(199377..200087)	hypothetical protein
ctrn:L3404_00183	CDS	200455..201219	3-deoxy-manno-octulosonate cytidylyltransferase
ctrn:L3404_00184	CDS	201195..202814	CTP synthetase
ctrn:L3404_00185	CDS	202801..203247	Holliday junction resolvase-like protein
ctrn:L3404_00186	CDS	203364..204887	glucose-6-phosphate 1-dehydrogenase
ctrn:L3404_00187	CDS	204912..205682	glucosamine-6-phosphate deaminase
ctrn:L3404_00188	CDS	complement(205679..206551)	DNA polymerase III subunit delta'
ctrn:L3404_00189	CDS	complement(206565..207176)	thymidylate kinase
ctrn:L3404_00190	CDS	complement(207178..209688)	DNA gyrase subunit A
ctrn:L3404_00191	CDS	complement(209703..212117)	DNA gyrase subunit B
ctrn:L3404_00192	CDS	complement(212120..212470)	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives
ctrn:L3404_00193	CDS	complement(212617..213312)	hypothetical protein
ctrn:L3404_00194	CDS	complement(213416..214534)	queuine tRNA-ribosyltransferase
ctrn:L3404_00195	CDS	complement(214661..216133)	putative transcriptional regulator containing CBS domains
ctrn:L3404_00196	CDS	complement(216513..217604)	hypothetical protein
ctrn:L3404_00197	CDS	217830..218150	hypothetical protein
ctrn:L3404_00198	CDS	218226..219242	UGMP family protein
ctrn:L3404_00199	CDS	219206..220762	oligopeptide ABC transporter substrate-binding protein OppA
ctrn:L3404_00200	CDS	220921..221862	oligopeptide transporter permease
ctrn:L3404_00201	CDS	221894..222739	oligopeptide ABC transporter permease OppC
ctrn:L3404_00202	CDS	222732..223565	oligopeptide transporter ATP-binding component
ctrn:L3404_00203	CDS	223580..224323	dipeptide transporter ATP-binding subunit
ctrn:L3404_00204	CDS	224635..225384	hypothetical protein
ctrn:L3404_00205	CDS	225414..226829	transporter, divalent anion:Na+ symporter (DASS) family
ctrn:L3404_00206	CDS	226849..228510	diphosphate--fructose-6-phosphate 1-phosphotransferase
ctrn:L3404_00207	CDS	228549..229367	fermentation/respiration switch protein
ctrn:L3404_00208	CDS	229349..230995	diphosphate--fructose-6-phosphate 1-phosphotransferase
ctrn:L3404_00209	tRNA	complement(231050..231123)	tRNA-Met
ctrn:L3404_00210	tRNA	complement(231142..231214)	tRNA-Met
ctrn:L3404_00211	CDS	complement(231241..232536)	3-deoxy-D-manno-octulosonic-acid transferase
ctrn:L3404_00212	CDS	complement(232533..234992)	leucyl-tRNA synthetase
ctrn:L3404_00213	CDS	235189..236457	glutamate-1-semialdehyde aminotransferase
ctrn:L3404_00214	CDS	complement(236449..237018)	hypothetical protein
ctrn:L3404_00215	CDS	complement(237038..237484)	putative ACR_
ctrn:L3404_00216	CDS	complement(237474..238202)	ribose-5-phosphate isomerase A
ctrn:L3404_00217	CDS	complement(238297..239940)	hypothetical protein
ctrn:L3404_00218	CDS	240244..241290	fructose-bisphosphate aldolase
ctrn:L3404_00219	CDS	241304..242704	inner membrane transporter YjeM
ctrn:L3404_00220	CDS	242798..243562	tRNA 2-thiocytidine biosynthesis protein TtcA
ctrn:L3404_00221	CDS	243693..244544	5'(3')-nucleotidase/polyphosphatase
ctrn:L3404_00222	CDS	244656..245564	prenyltransferase
ctrn:L3404_00223	CDS	245561..246139	aromatic acid decarboxylase
ctrn:L3404_00224	CDS	complement(246136..247032)	hypothetical protein
ctrn:L3404_00225	tRNA	complement(247055..247130)	tRNA-Asp
ctrn:L3404_00226	tRNA	complement(247136..247210)	tRNA-Val
ctrn:L3404_00227	CDS	complement(247489..247875)	IncA protein
ctrn:L3404_00228	CDS	complement(248017..248823)	IncA protein
ctrn:L3404_00229	CDS	complement(249215..249658)	hypothetical protein
ctrn:L3404_00230	CDS	complement(249766..250134)	hypothetical protein
ctrn:L3404_00231	CDS	complement(250233..250730)	hypothetical protein
ctrn:L3404_00232	CDS	complement(250877..251278)	hypothetical protein
ctrn:L3404_00233	CDS	complement(251559..252149)	IncA protein
ctrn:L3404_00234	CDS	complement(252299..252946)	IncA protein
ctrn:L3404_00235	CDS	253172..254419	C4-dicarboxylate transporter DctA
ctrn:L3404_00236	CDS	254603..256075	Na+-dependent transporters of the SNF family protein
ctrn:L3404_00237	CDS	256180..256527	hypothetical protein
ctrn:L3404_00238	CDS	256604..257140	hypothetical protein
ctrn:L3404_00239	CDS	257198..259984	hypothetical protein
ctrn:L3404_00240	CDS	260013..260426	putative signal-transduction protein containing cAMP-binding and CBS domains
ctrn:L3404_00241	CDS	complement(260487..260720)	acyl carrier protein
ctrn:L3404_00242	CDS	complement(261089..261835)	3-ketoacyl-(acyl-carrier-protein) reductase
ctrn:L3404_00243	CDS	complement(261832..262758)	(acyl-carrier-protein) S-malonyltransferase
ctrn:L3404_00244	CDS	complement(262775..263770)	3-oxoacyl-(acyl carrier protein) synthase III
ctrn:L3404_00245	CDS	263896..264498	recombination protein RecR
ctrn:L3404_00246	CDS	264872..267250	outer membrane protein assembly factor YaeT
ctrn:L3404_00247	CDS	267317..267838	periplasmic chaperone
ctrn:L3404_00248	CDS	267866..268930	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
ctrn:L3404_00249	CDS	complement(268927..269997)	hypothetical protein
ctrn:L3404_00250	CDS	270345..271367	hypothetical protein
ctrn:L3404_00251	CDS	271360..272346	pyruvate dehydrogenase subunit beta
ctrn:L3404_00252	CDS	272351..273640	branched-chain alpha-keto acid dehydrogenase subunit E2
ctrn:L3404_00253	CDS	complement(273667..276111)	glycogen phosphorylase
ctrn:L3404_00254	CDS	276267..276617	hypothetical protein
ctrn:L3404_00255	CDS	complement(276671..278041)	chromosomal replication initiation protein
ctrn:L3404_00256	CDS	complement(278118..280475)	putative inner membrane protein translocase component YidC
ctrn:L3404_00257	CDS	complement(280791..281609)	prolipoprotein diacylglyceryl transferase
ctrn:L3404_00258	CDS	281860..282507	hypothetical protein
ctrn:L3404_00259	CDS	282511..283281	CAAX amino terminal protease self-immunity
ctrn:L3404_00260	CDS	complement(283489..283872)	nucleoside triphosphate pyrophosphohydrolase
ctrn:L3404_00261	CDS	284061..285305	hypothetical protein
ctrn:L3404_00262	CDS	285295..286509	hypothetical protein
ctrn:L3404_00263	CDS	complement(286513..287637)	cysteine desulfurase
ctrn:L3404_00264	CDS	complement(287643..288389)	putative protein serine/threonine phosphatase
ctrn:L3404_00265	CDS	288708..289199	hypothetical protein
ctrn:L3404_00266	CDS	289208..289906	DNA polymerase III subunit epsilon
ctrn:L3404_00267	CDS	289903..290673	putative periplasmic solute-binding protein
ctrn:L3404_00268	CDS	290666..291256	hypothetical protein
ctrn:L3404_00269	CDS	complement(291277..293217)	lipid transporter ATP-binding/permease protein
ctrn:L3404_00270	CDS	complement(293183..294157)	acetyl-CoA carboxylase carboxyltransferase subunit alpha
ctrn:L3404_00271	CDS	complement(294290..295471)	hypothetical protein
ctrn:L3404_00272	CDS	complement(295589..295891)	integration host factor subunit beta
ctrn:L3404_00273	CDS	complement(296111..296830)	N-acetylmuramoyl-l-alanine amidase I
ctrn:L3404_00274	CDS	complement(296805..298256)	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
ctrn:L3404_00275	CDS	complement(298579..300522)	peptidoglycan synthase FtsI
ctrn:L3404_00276	CDS	complement(300509..300796)	hypothetical protein
ctrn:L3404_00277	CDS	complement(300796..301698)	16S rRNA m(4) methyltransferase
ctrn:L3404_00278	CDS	301976..302542	hypothetical protein
ctrn:L3404_00279	CDS	302549..302968	type III secretion low calcium response chaperone LcrH/SycD
ctrn:L3404_00280	CDS	303165..304577	chromosomal replication initiation protein
ctrn:L3404_00281	CDS	304629..305213	Polymer-forming cytoskeletal
ctrn:L3404_00282	CDS	complement(305185..305844)	hypothetical protein
ctrn:L3404_00283	CDS	305846..307357	Na(+)-translocating NADH-quinone reductase subunit B
ctrn:L3404_00284	CDS	307361..308311	Na(+)-translocating NADH-quinone reductase subunit C
ctrn:L3404_00285	CDS	308301..308942	Na(+)-translocating NADH-quinone reductase subunit D
ctrn:L3404_00286	CDS	308948..309682	Na(+)-translocating NADH-quinone reductase subunit E
ctrn:L3404_00287	CDS	complement(309706..310059)	glycine cleavage system protein H
ctrn:L3404_00288	CDS	complement(310079..312151)	chlamydial GcvH-like protein upstream region protein
ctrn:L3404_00289	CDS	complement(312346..313764)	cardiolipin synthetase
ctrn:L3404_00290	CDS	complement(313776..314495)	Lipoate-protein ligase A
ctrn:L3404_00291	CDS	314760..317324	protein disaggregation chaperone
ctrn:L3404_00292	CDS	complement(317305..318381)	tRNA-specific 2-thiouridylase MnmA
ctrn:L3404_00293	CDS	318613..320307	IncA protein
ctrn:L3404_00294	CDS	complement(320394..321539)	hypothetical protein
ctrn:L3404_00295	CDS	complement(321597..322274)	PTS system sugar transporter subunit IIA
ctrn:L3404_00296	CDS	complement(322277..322753)	PTS system sugar transporter subunit IIA
ctrn:L3404_00297	CDS	complement(322755..323192)	deoxyuridine 5'-triphosphate nucleotidohydrolase
ctrn:L3404_00298	CDS	complement(323229..324155)	acetyl-CoA carboxylase subunit beta
ctrn:L3404_00299	CDS	complement(324226..324846)	superoxide dismutase
ctrn:L3404_00300	CDS	complement(324978..326759)	phosphoglucomutase
ctrn:L3404_00301	CDS	complement(326911..327378)	hypothetical protein
ctrn:L3404_00302	CDS	327487..328182	ribonuclease III
ctrn:L3404_00303	CDS	328166..329530	DNA repair protein RadA
ctrn:L3404_00304	CDS	329508..330233	porphobilinogen deaminase
ctrn:L3404_00305	CDS	330630..330977	hypothetical protein
ctrn:L3404_00306	CDS	complement(331030..333834)	serine/threonine-protein kinase
ctrn:L3404_00307	CDS	complement(333849..336668)	valyl-tRNA synthetase
ctrn:L3404_00308	CDS	complement(336795..337271)	hypothetical protein
ctrn:L3404_00309	CDS	complement(337231..337656)	V-type ATP synthase subunit K
ctrn:L3404_00310	CDS	complement(337718..339667)	V-type ATP synthase subunit I
ctrn:L3404_00311	CDS	complement(339673..340284)	V-type ATP synthase subunit D
ctrn:L3404_00312	CDS	complement(340269..341585)	V-type ATP synthase subunit B
ctrn:L3404_00313	CDS	complement(341588..343363)	V-type ATP synthase subunit A
ctrn:L3404_00314	CDS	complement(343357..344157)	hypothetical protein
ctrn:L3404_00315	CDS	complement(344324..344950)	V-type ATP synthase subunit E
ctrn:L3404_00316	CDS	345059..345769	hypothetical protein
ctrn:L3404_00317	CDS	complement(345777..346148)	hypothetical protein
ctrn:L3404_00318	CDS	complement(346193..347176)	transaldolase B
ctrn:L3404_00319	CDS	complement(347288..351478)	DNA-directed RNA polymerase subunit beta'
ctrn:L3404_00320	CDS	complement(351503..355261)	DNA-directed RNA polymerase subunit beta
ctrn:L3404_00321	CDS	complement(355622..356014)	50S ribosomal protein L7/L12
ctrn:L3404_00322	CDS	complement(356046..356564)	50S ribosomal protein L10
ctrn:L3404_00323	CDS	complement(356586..357284)	50S ribosomal protein L1
ctrn:L3404_00324	CDS	complement(357307..357732)	50S ribosomal protein L11
ctrn:L3404_00325	CDS	complement(357838..358386)	transcription antitermination protein NusG
ctrn:L3404_00326	CDS	complement(358390..358638)	preprotein translocase subunit SecE
ctrn:L3404_00327	tRNA	complement(358667..358741)	tRNA-Trp
ctrn:L3404_00328	CDS	complement(358781..359965)	elongation factor Tu
ctrn:L3404_00329	tRNA	complement(360011..360082)	tRNA-Thr
ctrn:L3404_00330	CDS	complement(360313..360534)	translation initiation factor IF-1
ctrn:L3404_00331	CDS	360946..361857	hypothetical protein
ctrn:L3404_00332	CDS	361854..362300	cysteine desufuration protein SufE
ctrn:L3404_00333	CDS	complement(362779..364077)	hypothetical protein
ctrn:L3404_00334	CDS	complement(364119..364322)	hypothetical protein
ctrn:L3404_00335	CDS	complement(364513..364695)	hypothetical protein
ctrn:L3404_00336	tRNA	365304..365378	tRNA-Met
ctrn:L3404_00337	CDS	complement(365418..366044)	N-(5'-phosphoribosyl)anthranilate isomerase
ctrn:L3404_00338	CDS	366240..367064	triosephosphate isomerase
ctrn:L3404_00339	CDS	367078..368628	exodeoxyribonuclease VII large subunit
ctrn:L3404_00340	CDS	368612..368830	exodeoxyribonuclease VII small subunit
ctrn:L3404_00341	CDS	368837..369109	hypothetical protein
ctrn:L3404_00342	CDS	369106..371028	1-deoxy-D-xylulose-5-phosphate synthase
ctrn:L3404_00343	CDS	371125..372582	pyruvate kinase
ctrn:L3404_00344	CDS	372605..377929	excinuclease ABC subunit A
ctrn:L3404_00345	CDS	378147..379547	DNA polymerase III subunits gamma and tau
ctrn:L3404_00346	CDS	379540..379830	hypothetical protein
ctrn:L3404_00347	CDS	complement(379840..381555)	phosphoenolpyruvate-protein phosphotransferase
ctrn:L3404_00348	CDS	complement(381555..381884)	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein
ctrn:L3404_00349	CDS	complement(382022..382543)	hypothetical protein
ctrn:L3404_00350	CDS	complement(382540..382794)	hypothetical protein
ctrn:L3404_00351	CDS	382908..384296	Competence protein
ctrn:L3404_00352	CDS	complement(384368..386404)	pyruvate dehydrogenase subunit beta
ctrn:L3404_00353	CDS	complement(386439..387617)	chaperone protein DnaJ
ctrn:L3404_00354	CDS	complement(387646..387822)	30S ribosomal protein S21
ctrn:L3404_00355	CDS	complement(388020..388652)	universal bacterial protein YeaZ
ctrn:L3404_00356	CDS	388962..391421	DNA-binding ATP-dependent protease La
ctrn:L3404_00357	CDS	391523..391888	hypothetical protein
ctrn:L3404_00358	CDS	392231..393145	ribonuclease Z
ctrn:L3404_00359	CDS	393207..394154	site-specific tyrosine recombinase XerC
